x,y
73.375,39.625
73.625,39.625
73.875,39.625
74.125,39.625
74.375,39.625
74.625,39.625
71.625,39.375
71.875,39.375
72.125,39.375
72.375,39.375
72.625,39.375
72.875,39.375
73.125,39.375
73.375,39.375
73.625,39.375
73.875,39.375
74.125,39.375
74.375,39.375
74.625,39.375
71.125,39.125
71.375,39.125
71.625,39.125
71.875,39.125
72.125,39.125
72.375,39.125
72.625,39.125
72.875,39.125
73.125,39.125
73.375,39.125
73.625,39.125
73.875,39.125
74.125,39.125
74.375,39.125
74.625,39.125
74.875,39.125
75.125,39.125
70.375,38.875
70.625,38.875
70.875,38.875
71.125,38.875
71.375,38.875
71.625,38.875
71.875,38.875
72.125,38.875
72.375,38.875
72.625,38.875
72.875,38.875
73.125,38.875
73.375,38.875
73.625,38.875
73.875,38.875
74.125,38.875
74.375,38.875
74.625,38.875
74.875,38.875
75.125,38.875
75.375,38.875
70.375,38.625
70.625,38.625
70.875,38.625
71.125,38.625
71.375,38.625
71.625,38.625
71.875,38.625
72.125,38.625
72.375,38.625
72.625,38.625
72.875,38.625
73.125,38.625
73.375,38.625
73.625,38.625
73.875,38.625
74.125,38.625
74.375,38.625
74.625,38.625
74.875,38.625
75.125,38.625
75.375,38.625
75.625,38.625
75.875,38.625
70.375,38.375
70.625,38.375
70.875,38.375
71.125,38.375
71.375,38.375
71.625,38.375
71.875,38.375
72.125,38.375
72.375,38.375
72.625,38.375
72.875,38.375
73.125,38.375
73.375,38.375
73.625,38.375
73.875,38.375
74.125,38.375
74.375,38.375
74.625,38.375
74.875,38.375
75.125,38.375
75.375,38.375
75.625,38.375
75.875,38.375
76.125,38.375
70.375,38.125
70.625,38.125
70.875,38.125
71.125,38.125
71.375,38.125
71.625,38.125
71.875,38.125
72.125,38.125
72.375,38.125
72.625,38.125
72.875,38.125
73.125,38.125
73.375,38.125
73.625,38.125
73.875,38.125
74.125,38.125
74.375,38.125
74.625,38.125
74.875,38.125
75.125,38.125
75.375,38.125
75.625,38.125
75.875,38.125
76.125,38.125
76.375,38.125
70.375,37.875
70.625,37.875
70.875,37.875
71.125,37.875
71.375,37.875
71.625,37.875
71.875,37.875
72.125,37.875
72.375,37.875
72.625,37.875
72.875,37.875
73.125,37.875
73.375,37.875
73.625,37.875
73.875,37.875
74.125,37.875
74.375,37.875
74.625,37.875
74.875,37.875
75.125,37.875
75.375,37.875
75.625,37.875
75.875,37.875
76.125,37.875
70.625,37.625
70.875,37.625
71.125,37.625
71.375,37.625
71.625,37.625
