x,y
97.625,34.375
97.875,34.375
95.875,34.125
96.125,34.125
96.375,34.125
96.625,34.125
96.875,34.125
97.125,34.125
97.375,34.125
97.625,34.125
97.875,34.125
98.125,34.125
98.375,34.125
98.625,34.125
98.875,34.125
99.125,34.125
99.375,34.125
99.625,34.125
99.875,34.125
94.125,33.875
94.375,33.875
94.625,33.875
94.875,33.875
95.125,33.875
95.375,33.875
95.625,33.875
95.875,33.875
96.125,33.875
96.375,33.875
96.625,33.875
96.875,33.875
97.125,33.875
97.375,33.875
97.625,33.875
97.875,33.875
98.125,33.875
98.375,33.875
98.625,33.875
98.875,33.875
99.125,33.875
99.375,33.875
99.625,33.875
99.875,33.875
100.125,33.875
100.375,33.875
100.625,33.875
93.875,33.625
94.125,33.625
94.375,33.625
94.625,33.625
94.875,33.625
95.125,33.625
95.375,33.625
95.625,33.625
95.875,33.625
96.125,33.625
96.375,33.625
96.625,33.625
96.875,33.625
97.125,33.625
97.375,33.625
97.625,33.625
97.875,33.625
98.125,33.625
98.375,33.625
98.625,33.625
98.875,33.625
99.125,33.625
99.375,33.625
99.625,33.625
99.875,33.625
100.125,33.625
100.375,33.625
100.625,33.625
100.875,33.625
92.125,33.375
92.375,33.375
92.625,33.375
92.875,33.375
93.625,33.375
93.875,33.375
94.125,33.375
94.375,33.375
94.625,33.375
94.875,33.375
95.125,33.375
95.375,33.375
95.625,33.375
95.875,33.375
96.125,33.375
96.375,33.375
96.625,33.375
96.875,33.375
97.125,33.375
97.375,33.375
97.625,33.375
97.875,33.375
98.125,33.375
98.375,33.375
98.625,33.375
98.875,33.375
99.125,33.375
99.375,33.375
99.625,33.375
99.875,33.375
100.125,33.375
100.375,33.375
100.625,33.375
100.875,33.375
91.875,33.125
92.125,33.125
92.375,33.125
92.625,33.125
92.875,33.125
93.125,33.125
93.375,33.125
93.625,33.125
93.875,33.125
94.125,33.125
94.375,33.125
94.625,33.125
94.875,33.125
95.125,33.125
95.375,33.125
95.625,33.125
95.875,33.125
96.125,33.125
96.375,33.125
96.625,33.125
96.875,33.125
97.125,33.125
97.375,33.125
97.625,33.125
97.875,33.125
98.125,33.125
98.375,33.125
98.625,33.125
98.875,33.125
99.125,33.125
99.375,33.125
99.625,33.125
99.875,33.125
100.125,33.125
100.375,33.125
100.625,33.125
100.875,33.125
101.125,33.125
91.125,32.875
91.375,32.875
91.625,32.875
91.875,32.875
92.125,32.875
92.375,32.875
92.625,32.875
92.875,32.875
93.125,32.875
93.375,32.875
93.625,32.875
93.875,32.875
94.125,32.875
94.375,32.875
94.625,32.875
94.875,32.875
95.125,32.875
95.375,32.875
95.625,32.875
95.875,32.875
96.125,32.875
96.375,32.875
96.625,32.875
