long,lat,variable,value,level
73.375,39.625,tws245,-0.264909712327907,"(-1,0]"
73.625,39.625,tws245,-0.16792769223795,"(-1,0]"
73.875,39.625,tws245,-0.430401999439148,"(-1,0]"
74.125,39.625,tws245,-0.340196124645936,"(-1,0]"
74.375,39.625,tws245,-0.44317219863698,"(-1,0]"
74.625,39.625,tws245,-0.405623799321999,"(-1,0]"
71.625,39.375,tws245,-0.623414866296518,"(-1,0]"
71.875,39.375,tws245,-0.390849567736443,"(-1,0]"
72.125,39.375,tws245,-0.315918009258724,"(-1,0]"
72.375,39.375,tws245,-0.310289646114498,"(-1,0]"
72.625,39.375,tws245,-0.354742733532923,"(-1,0]"
72.875,39.375,tws245,-0.337605835829153,"(-1,0]"
73.125,39.375,tws245,-0.242018965987364,"(-1,0]"
73.375,39.375,tws245,-0.298807616621908,"(-1,0]"
73.625,39.375,tws245,-0.297467854884799,"(-1,0]"
73.875,39.375,tws245,-0.28822342091416,"(-1,0]"
74.125,39.375,tws245,-0.265388633374705,"(-1,0]"
74.375,39.375,tws245,-0.347519664955385,"(-1,0]"
74.625,39.375,tws245,-0.385378770776931,"(-1,0]"
71.125,39.125,tws245,-0.509057260467769,"(-1,0]"
71.375,39.125,tws245,-0.302943533851407,"(-1,0]"
71.625,39.125,tws245,-0.234979221306268,"(-1,0]"
71.875,39.125,tws245,-0.452300092408271,"(-1,0]"
72.125,39.125,tws245,-0.279964054180547,"(-1,0]"
72.375,39.125,tws245,-0.361672211375145,"(-1,0]"
72.625,39.125,tws245,-0.388039475827752,"(-1,0]"
72.875,39.125,tws245,-0.424930866614931,"(-1,0]"
73.125,39.125,tws245,-0.299229774538828,"(-1,0]"
73.375,39.125,tws245,-0.277331617129233,"(-1,0]"
73.625,39.125,tws245,-0.279109161773034,"(-1,0]"
73.875,39.125,tws245,-0.401263416869313,"(-1,0]"
74.125,39.125,tws245,-0.348214412790469,"(-1,0]"
74.375,39.125,tws245,-0.381895358703419,"(-1,0]"
74.625,39.125,tws245,-0.390536669730222,"(-1,0]"
74.875,39.125,tws245,-0.422944459404501,"(-1,0]"
75.125,39.125,tws245,-0.418948148929294,"(-1,0]"
70.375,38.875,tws245,-0.559192475392993,"(-1,0]"
70.625,38.875,tws245,-0.423726976827799,"(-1,0]"
70.875,38.875,tws245,-0.473000654640345,"(-1,0]"
71.125,38.875,tws245,-0.447270864492693,"(-1,0]"
71.375,38.875,tws245,-0.55303475114887,"(-1,0]"
71.625,38.875,tws245,-0.718146000294257,"(-1,0]"
71.875,38.875,tws245,-0.332042596704224,"(-1,0]"
72.125,38.875,tws245,-0.380035646500433,"(-1,0]"
72.375,38.875,tws245,-0.323611604459835,"(-1,0]"
72.625,38.875,tws245,-0.325621369132883,"(-1,0]"
72.875,38.875,tws245,-0.394003446079277,"(-1,0]"
73.125,38.875,tws245,-0.33397237346918,"(-1,0]"
73.375,38.875,tws245,-0.294086152066309,"(-1,0]"
73.625,38.875,tws245,-0.534292089182416,"(-1,0]"
73.875,38.875,tws245,-0.454069841999059,"(-1,0]"
74.125,38.875,tws245,-0.357210502228883,"(-1,0]"
74.375,38.875,tws245,-0.399591353411471,"(-1,0]"
74.625,38.875,tws245,-0.433383471968508,"(-1,0]"
74.875,38.875,tws245,-0.459030096422376,"(-1,0]"
75.125,38.875,tws245,-0.588006743698229,"(-1,0]"
75.375,38.875,tws245,-0.461010089011405,"(-1,0]"
70.375,38.625,tws245,-0.5889261087122,"(-1,0]"
70.625,38.625,tws245,-0.488374893433689,"(-1,0]"
70.875,38.625,tws245,-0.41014961682203,"(-1,0]"
71.125,38.625,tws245,-0.467942783426609,"(-1,0]"
71.375,38.625,tws245,-0.287454517721121,"(-1,0]"
71.625,38.625,tws245,-0.340164602773455,"(-1,0]"
71.875,38.625,tws245,-0.409175927106858,"(-1,0]"
72.125,38.625,tws245,-0.409846132457385,"(-1,0]"
72.375,38.625,tws245,-0.388358784448762,"(-1,0]"
72.625,38.625,tws245,-0.374551046195444,"(-1,0]"
72.875,38.625,tws245,-0.513289606787992,"(-1,0]"
73.125,38.625,tws245,-0.371386745896485,"(-1,0]"
73.375,38.625,tws245,-0.45152388510628,"(-1,0]"
73.625,38.625,tws245,-0.321041172147299,"(-1,0]"
73.875,38.625,tws245,-0.377611162177886,"(-1,0]"
74.125,38.625,tws245,-0.496358839743859,"(-1,0]"
74.375,38.625,tws245,-0.343777247414514,"(-1,0]"
74.625,38.625,tws245,-0.355850795694179,"(-1,0]"
74.875,38.625,tws245,-0.333635516614624,"(-1,0]"
75.125,38.625,tws245,-0.458357959845582,"(-1,0]"
75.375,38.625,tws245,-0.363077304779248,"(-1,0]"
75.625,38.625,tws245,-0.427413780048793,"(-1,0]"
75.875,38.625,tws245,-0.5658254345097,"(-1,0]"
70.375,38.375,tws245,-0.6349428517326,"(-1,0]"
70.625,38.375,tws245,-0.564339911788088,"(-1,0]"
70.875,38.375,tws245,-0.528449147130631,"(-1,0]"
71.125,38.375,tws245,-0.529278409286351,"(-1,0]"
71.375,38.375,tws245,-0.454790473961945,"(-1,0]"
71.625,38.375,tws245,-0.491901507734166,"(-1,0]"
71.875,38.375,tws245,-0.535145939941079,"(-1,0]"
72.125,38.375,tws245,-0.568486384463605,"(-1,0]"
72.375,38.375,tws245,-0.441572097005328,"(-1,0]"
72.625,38.375,tws245,-0.259789252580713,"(-1,0]"
72.875,38.375,tws245,-0.445969870847751,"(-1,0]"
73.125,38.375,tws245,-0.423320933790256,"(-1,0]"
73.375,38.375,tws245,-0.37098558825864,"(-1,0]"
73.625,38.375,tws245,-0.463139431563361,"(-1,0]"
73.875,38.375,tws245,-0.293314608987002,"(-1,0]"
74.125,38.375,tws245,-0.278731512569684,"(-1,0]"
74.375,38.375,tws245,-0.206447068755028,"(-1,0]"
74.625,38.375,tws245,-0.138589479027821,"(-1,0]"
74.875,38.375,tws245,-0.188600847219215,"(-1,0]"
75.125,38.375,tws245,-0.329068659088922,"(-1,0]"
75.375,38.375,tws245,-0.46744240896114,"(-1,0]"
75.625,38.375,tws245,-0.390734394176805,"(-1,0]"
75.875,38.375,tws245,-0.414555903091587,"(-1,0]"
76.125,38.375,tws245,-0.687253253680017,"(-1,0]"
70.375,38.125,tws245,-0.779865385279094,"(-1,0]"
70.625,38.125,tws245,-0.669676885083007,"(-1,0]"
70.875,38.125,tws245,-0.773567982291044,"(-1,0]"
71.125,38.125,tws245,-0.534228667442247,"(-1,0]"
71.375,38.125,tws245,-0.58725849858703,"(-1,0]"
71.625,38.125,tws245,-0.406209185420233,"(-1,0]"
71.875,38.125,tws245,-0.667612162097399,"(-1,0]"
72.125,38.125,tws245,-0.57351036874953,"(-1,0]"
72.375,38.125,tws245,-0.56106413842139,"(-1,0]"
72.625,38.125,tws245,-0.540707548932711,"(-1,0]"
72.875,38.125,tws245,-0.512772851577324,"(-1,0]"
73.125,38.125,tws245,-0.425611279406454,"(-1,0]"
73.375,38.125,tws245,-0.392080074927833,"(-1,0]"
73.625,38.125,tws245,-0.254156806801597,"(-1,0]"
73.875,38.125,tws245,-0.287755628947827,"(-1,0]"
74.125,38.125,tws245,-0.141134749915289,"(-1,0]"
74.375,38.125,tws245,-0.14058780262348,"(-1,0]"
74.625,38.125,tws245,-0.106644354999039,"(-1,0]"
74.875,38.125,tws245,-0.0689656418766929,"(-1,0]"
75.125,38.125,tws245,-0.158731058700021,"(-1,0]"
75.375,38.125,tws245,-0.220132972966374,"(-1,0]"
75.625,38.125,tws245,-0.253119542631905,"(-1,0]"
75.875,38.125,tws245,-0.31830690644091,"(-1,0]"
76.125,38.125,tws245,-0.191879607369242,"(-1,0]"
76.375,38.125,tws245,-0.316287077406239,"(-1,0]"
70.375,37.875,tws245,-1.28762083286524,"(-2,-1]"
70.625,37.875,tws245,-1.01720941828525,"(-2,-1]"
70.875,37.875,tws245,-0.861731173316649,"(-1,0]"
71.125,37.875,tws245,-0.760805849352535,"(-1,0]"
