long,lat,variable,value,level
72.625,38.375,tws245,-2.8885920651207,"(-3,-2]"
72.875,38.375,tws245,-3.11584204817713,"(-4,-3]"
73.125,38.375,tws245,-3.16812709160748,"(-4,-3]"
73.375,38.375,tws245,-3.19046587831561,"(-4,-3]"
73.625,38.375,tws245,-3.26740771792974,"(-4,-3]"
73.875,38.375,tws245,-3.1197458296211,"(-4,-3]"
74.125,38.375,tws245,-3.07465242221477,"(-4,-3]"
74.375,38.375,tws245,-3.01070825668993,"(-4,-3]"
74.625,38.375,tws245,-2.92965534240885,"(-3,-2]"
74.875,38.375,tws245,-3.0624196047287,"(-4,-3]"
75.125,38.375,tws245,-3.27351257644494,"(-4,-3]"
75.375,38.375,tws245,-3.41934432543172,"(-4,-3]"
75.625,38.375,tws245,-3.36270153647658,"(-4,-3]"
75.875,38.375,tws245,-3.38647302075803,"(-4,-3]"
76.125,38.375,tws245,-3.67069933337897,"(-4,-3]"
70.375,38.125,tws245,-2.73266414492012,"(-3,-2]"
70.625,38.125,tws245,-2.70160308344482,"(-3,-2]"
70.875,38.125,tws245,-2.87129596667618,"(-3,-2]"
71.125,38.125,tws245,-2.83103324281565,"(-3,-2]"
71.375,38.125,tws245,-2.96529136924398,"(-3,-2]"
71.625,38.125,tws245,-2.85852526490584,"(-3,-2]"
71.875,38.125,tws245,-3.09357238272517,"(-4,-3]"
72.125,38.125,tws245,-3.04618334454194,"(-4,-3]"
72.375,38.125,tws245,-3.07807477919643,"(-4,-3]"
72.625,38.125,tws245,-3.08643837848448,"(-4,-3]"
72.875,38.125,tws245,-3.09532924396521,"(-4,-3]"
73.125,38.125,tws245,-3.08206973181781,"(-4,-3]"
73.375,38.125,tws245,-3.13439546263825,"(-4,-3]"
73.625,38.125,tws245,-3.00179254245148,"(-4,-3]"
73.875,38.125,tws245,-3.04834765526236,"(-4,-3]"
74.125,38.125,tws245,-2.88126386417059,"(-3,-2]"
74.375,38.125,tws245,-2.84638082074538,"(-3,-2]"
74.625,38.125,tws245,-2.83993157179658,"(-3,-2]"
74.875,38.125,tws245,-2.85167813077356,"(-3,-2]"
75.125,38.125,tws245,-3.02200169955069,"(-4,-3]"
75.375,38.125,tws245,-3.16674426861981,"(-4,-3]"
75.625,38.125,tws245,-3.20814591604767,"(-4,-3]"
75.875,38.125,tws245,-3.27236532404652,"(-4,-3]"
76.125,38.125,tws245,-3.14833277427456,"(-4,-3]"
76.375,38.125,tws245,-3.29020091732248,"(-4,-3]"
70.375,37.875,tws245,-3.03572029719403,"(-4,-3]"
70.625,37.875,tws245,-2.96605663653304,"(-3,-2]"
70.875,37.875,tws245,-2.94754735170267,"(-3,-2]"
71.125,37.875,tws245,-2.91694446066994,"(-3,-2]"
71.375,37.875,tws245,-2.97869171574324,"(-3,-2]"
71.625,37.875,tws245,-2.93023843385389,"(-3,-2]"
71.875,37.875,tws245,-3.02994366538087,"(-4,-3]"
72.125,37.875,tws245,-3.04124391716201,"(-4,-3]"
72.375,37.875,tws245,-3.1383814434423,"(-4,-3]"
72.625,37.875,tws245,-3.16572630992084,"(-4,-3]"
72.875,37.875,tws245,-3.10659150439338,"(-4,-3]"
73.125,37.875,tws245,-3.00207846712469,"(-4,-3]"
73.375,37.875,tws245,-2.96741062925838,"(-3,-2]"
73.625,37.875,tws245,-2.93297769840687,"(-3,-2]"
73.875,37.875,tws245,-2.9649172390106,"(-3,-2]"
74.125,37.875,tws245,-2.87890187340872,"(-3,-2]"
74.375,37.875,tws245,-2.88217870904774,"(-3,-2]"
74.625,37.875,tws245,-2.80764587470733,"(-3,-2]"
74.875,37.875,tws245,-2.87930427460476,"(-3,-2]"
75.125,37.875,tws245,-2.87683833994122,"(-3,-2]"
75.375,37.875,tws245,-2.89230887060127,"(-3,-2]"
75.625,37.875,tws245,-3.31304126844702,"(-4,-3]"
75.875,37.875,tws245,-3.16782593609669,"(-4,-3]"
76.125,37.875,tws245,-2.76359683426819,"(-3,-2]"
70.625,37.625,tws245,-2.98737309274271,"(-3,-2]"
70.875,37.625,tws245,-2.92189605095693,"(-3,-2]"
71.125,37.625,tws245,-2.88055399311151,"(-3,-2]"
71.375,37.625,tws245,-3.01800679917809,"(-4,-3]"
71.625,37.625,tws245,-2.94732249882161,"(-3,-2]"
71.875,37.625,tws245,-2.87108001230545,"(-3,-2]"
72.125,37.625,tws245,-3.02739095542731,"(-4,-3]"
72.375,37.625,tws245,-3.07915312164912,"(-4,-3]"
72.625,37.625,tws245,-3.12712838045666,"(-4,-3]"
72.875,37.625,tws245,-3.04878505189364,"(-4,-3]"
73.125,37.625,tws245,-2.98113269403805,"(-3,-2]"
73.375,37.625,tws245,-2.87607424089408,"(-3,-2]"
73.625,37.625,tws245,-2.84267031755391,"(-3,-2]"
73.875,37.625,tws245,-2.74424135158187,"(-3,-2]"
74.125,37.625,tws245,-2.67224790729133,"(-3,-2]"
74.375,37.625,tws245,-2.54153452112241,"(-3,-2]"
74.625,37.625,tws245,-2.59977602228605,"(-3,-2]"
74.875,37.625,tws245,-2.62000107559189,"(-3,-2]"
75.125,37.625,tws245,-2.4550965398021,"(-3,-2]"
75.375,37.625,tws245,-2.71091755655945,"(-3,-2]"
75.625,37.625,tws245,-2.7913615904005,"(-3,-2]"
75.875,37.625,tws245,-2.77397641515059,"(-3,-2]"
76.125,37.625,tws245,-2.34856825221805,"(-3,-2]"
76.375,37.625,tws245,-2.2099168739626,"(-3,-2]"
70.875,37.375,tws245,-2.99628710749041,"(-3,-2]"
71.125,37.375,tws245,-3.0477942320139,"(-4,-3]"
71.375,37.375,tws245,-2.92865860588614,"(-3,-2]"
71.625,37.375,tws245,-2.98093218083933,"(-3,-2]"
71.875,37.375,tws245,-2.96027100440571,"(-3,-2]"
72.125,37.375,tws245,-3.03059394849166,"(-4,-3]"
72.375,37.375,tws245,-3.04524891273028,"(-4,-3]"
72.625,37.375,tws245,-3.02036480109136,"(-4,-3]"
72.875,37.375,tws245,-2.96824360020651,"(-3,-2]"
73.125,37.375,tws245,-2.91454773982303,"(-3,-2]"
73.375,37.375,tws245,-2.84284500133421,"(-3,-2]"
73.625,37.375,tws245,-2.90565539241955,"(-3,-2]"
73.875,37.375,tws245,-2.68541757822612,"(-3,-2]"
74.125,37.375,tws245,-2.24322173697228,"(-3,-2]"
74.375,37.375,tws245,-2.00331758606971,"(-3,-2]"
74.625,37.375,tws245,-2.09884554149881,"(-3,-2]"
74.875,37.375,tws245,-2.04889661440104,"(-3,-2]"
75.125,37.375,tws245,-2.08602098782571,"(-3,-2]"
75.375,37.375,tws245,-2.18033916359787,"(-3,-2]"
75.625,37.375,tws245,-2.12560791651195,"(-3,-2]"
75.875,37.375,tws245,-2.24436576096051,"(-3,-2]"
76.125,37.375,tws245,-2.11453758220114,"(-3,-2]"
76.375,37.375,tws245,-2.17386690979312,"(-3,-2]"
76.625,37.375,tws245,-2.14653312321799,"(-3,-2]"
70.875,37.125,tws245,-3.11014009825667,"(-4,-3]"
71.125,37.125,tws245,-3.15773933522146,"(-4,-3]"
71.375,37.125,tws245,-3.01596053787687,"(-4,-3]"
71.625,37.125,tws245,-2.95591344803288,"(-3,-2]"
71.875,37.125,tws245,-3.01077106950849,"(-4,-3]"
72.125,37.125,tws245,-3.06485592458931,"(-4,-3]"
72.375,37.125,tws245,-3.05438082701721,"(-4,-3]"
72.625,37.125,tws245,-2.94720720537542,"(-3,-2]"
72.875,37.125,tws245,-2.94288405842883,"(-3,-2]"
73.125,37.125,tws245,-2.82929784984935,"(-3,-2]"
73.375,37.125,tws245,-2.78275641096315,"(-3,-2]"
73.625,37.125,tws245,-2.64497375228571,"(-3,-2]"
73.875,37.125,tws245,-2.49287357972892,"(-3,-2]"
74.125,37.125,tws245,-2.03055326147822,"(-3,-2]"
74.375,37.125,tws245,-1.90250198293149,"(-2,-1]"
74.625,37.125,tws245,-1.80303645804893,"(-2,-1]"
74.875,37.125,tws245,-1.75278211733924,"(-2,-1]"
75.125,37.125,tws245,-1.74217666059563,"(-2,-1]"
75.375,37.125,tws245,-1.7473895798509,"(-2,-1]"
75.625,37.125,tws245,-1.74833697694326,"(-2,-1]"
75.875,37.125,tws245,-1.72490192976606,"(-2,-1]"
76.125,37.125,tws245,-1.63376395218794,"(-2,-1]"
76.375,37.125,tws245,-1.72169852676002,"(-2,-1]"
76.625,37.125,tws245,-1.78639882556167,"(-2,-1]"
76.875,37.125,tws245,-1.64706506483357,"(-2,-1]"
77.125,37.125,tws245,-0.705816942192444,"(-1,0]"
70.625,36.875,tws245,-2.97568325262165,"(-3,-2]"
70.875,36.875,tws245,-3.16522964978695,"(-4,-3]"
71.125,36.875,tws245,-3.18524021577471,"(-4,-3]"
71.375,36.875,tws245,-3.08056511106535,"(-4,-3]"
71.625,36.875,tws245,-3.1287497406237,"(-4,-3]"
71.875,36.875,tws245,-2.99495671998081,"(-3,-2]"
72.125,36.875,tws245,-3.05628111401208,"(-4,-3]"
72.375,36.875,tws245,-3.03422043088064,"(-4,-3]"
72.625,36.875,tws245,-3.0078125091826,"(-4,-3]"
72.875,36.875,tws245,-2.8201010874579,"(-3,-2]"
73.125,36.875,tws245,-2.59210314823094,"(-3,-2]"
73.375,36.875,tws245,-2.42914720552293,"(-3,-2]"
73.625,36.875,tws245,-2.26833559775637,"(-3,-2]"
73.875,36.875,tws245,-2.07271927403826,"(-3,-2]"
74.125,36.875,tws245,-1.96159490515243,"(-2,-1]"
74.375,36.875,tws245,-1.81512410284096,"(-2,-1]"
74.625,36.875,tws245,-1.72591910087729,"(-2,-1]"
74.875,36.875,tws245,-1.76727534378789,"(-2,-1]"
75.125,36.875,tws245,-1.72497693879051,"(-2,-1]"
75.375,36.875,tws245,-1.66351859608571,"(-2,-1]"
75.625,36.875,tws245,-1.77166703852541,"(-2,-1]"
75.875,36.875,tws245,-1.63331320006346,"(-2,-1]"
76.125,36.875,tws245,-1.10089966489546,"(-2,-1]"
76.375,36.875,tws245,-1.00684492830608,"(-2,-1]"
76.625,36.875,tws245,-0.962914131871391,"(-1,0]"
76.875,36.875,tws245,-1.17427517867847,"(-2,-1]"
77.125,36.875,tws245,-0.721111201409328,"(-1,0]"
77.375,36.875,tws245,-0.225742075367121,"(-1,0]"
77.625,36.875,tws245,-0.244102148638466,"(-1,0]"
70.125,36.625,tws245,-3.29212735823133,"(-4,-3]"
70.375,36.625,tws245,-3.23544618935773,"(-4,-3]"
70.625,36.625,tws245,-3.30023553572855,"(-4,-3]"
70.875,36.625,tws245,-3.20324209997064,"(-4,-3]"
71.125,36.625,tws245,-3.23513710318046,"(-4,-3]"
71.375,36.625,tws245,-3.17595334484182,"(-4,-3]"
71.625,36.625,tws245,-3.10453625278708,"(-4,-3]"
71.875,36.625,tws245,-2.72836632400509,"(-3,-2]"
72.125,36.625,tws245,-2.88848843149361,"(-3,-2]"
72.375,36.625,tws245,-2.97472969026333,"(-3,-2]"
72.625,36.625,tws245,-2.90505754204543,"(-3,-2]"
72.875,36.625,tws245,-2.71798349733123,"(-3,-2]"
73.125,36.625,tws245,-2.4538407051341,"(-3,-2]"
73.375,36.625,tws245,-2.21152045454772,"(-3,-2]"
73.625,36.625,tws245,-2.10492906382607,"(-3,-2]"
73.875,36.625,tws245,-1.92001295244159,"(-2,-1]"
74.125,36.625,tws245,-1.83831878619081,"(-2,-1]"
74.375,36.625,tws245,-1.74363317928822,"(-2,-1]"
74.625,36.625,tws245,-1.54322691889747,"(-2,-1]"
74.875,36.625,tws245,-1.49725652394171,"(-2,-1]"
75.125,36.625,tws245,-1.4267556020891,"(-2,-1]"
75.375,36.625,tws245,-1.42467582987877,"(-2,-1]"
75.625,36.625,tws245,-1.45594185668081,"(-2,-1]"
75.875,36.625,tws245,-1.28502358897319,"(-2,-1]"
76.125,36.625,tws245,-0.884647996496935,"(-1,0]"
76.375,36.625,tws245,-0.620535087466806,"(-1,0]"
76.625,36.625,tws245,-0.725998767512507,"(-1,0]"
76.875,36.625,tws245,-0.905262155515435,"(-1,0]"
77.125,36.625,tws245,-0.551174643575177,"(-1,0]"
77.375,36.625,tws245,-0.212157371533602,"(-1,0]"
77.625,36.625,tws245,-0.122470843502413,"(-1,0]"
69.625,36.375,tws245,-3.69347833425988,"(-4,-3]"
69.875,36.375,tws245,-3.58084442740331,"(-4,-3]"
70.125,36.375,tws245,-3.57681075007211,"(-4,-3]"
70.375,36.375,tws245,-3.48809802080544,"(-4,-3]"
70.625,36.375,tws245,-3.2911120363886,"(-4,-3]"
70.875,36.375,tws245,-3.20030293378398,"(-4,-3]"
71.125,36.375,tws245,-3.39014472670347,"(-4,-3]"
71.375,36.375,tws245,-3.17978732957432,"(-4,-3]"
71.625,36.375,tws245,-2.94122706825505,"(-3,-2]"
71.875,36.375,tws245,-3.03601452098736,"(-4,-3]"
72.125,36.375,tws245,-2.92256930430943,"(-3,-2]"
72.375,36.375,tws245,-2.74397505268234,"(-3,-2]"
72.625,36.375,tws245,-2.47381801958827,"(-3,-2]"
72.875,36.375,tws245,-2.41918569452075,"(-3,-2]"
73.125,36.375,tws245,-2.33184832025219,"(-3,-2]"
73.375,36.375,tws245,-2.1862193230964,"(-3,-2]"
73.625,36.375,tws245,-2.07748750709376,"(-3,-2]"
73.875,36.375,tws245,-2.04034569274976,"(-3,-2]"
74.125,36.375,tws245,-1.95962020588652,"(-2,-1]"
74.375,36.375,tws245,-1.63172459538833,"(-2,-1]"
74.625,36.375,tws245,-1.20014524379212,"(-2,-1]"
74.875,36.375,tws245,-0.949735446537509,"(-1,0]"
75.125,36.375,tws245,-0.694750001540731,"(-1,0]"
75.375,36.375,tws245,-0.870333209481087,"(-1,0]"
75.625,36.375,tws245,-0.841026215465678,"(-1,0]"
75.875,36.375,tws245,-0.894190702266726,"(-1,0]"
76.125,36.375,tws245,-0.926176255550307,"(-1,0]"
76.375,36.375,tws245,-1.02964809804402,"(-2,-1]"
76.625,36.375,tws245,-0.760527738397855,"(-1,0]"
76.875,36.375,tws245,-0.951890419322937,"(-1,0]"
77.125,36.375,tws245,-0.746520250512216,"(-1,0]"
77.375,36.375,tws245,-0.189152101014033,"(-1,0]"
69.375,36.125,tws245,-4.27844584879706,"(-5,-4]"
69.625,36.125,tws245,-3.89866624471408,"(-4,-3]"
69.875,36.125,tws245,-3.77711503786994,"(-4,-3]"
70.125,36.125,tws245,-3.76135435317679,"(-4,-3]"
70.375,36.125,tws245,-3.64504793389927,"(-4,-3]"
70.625,36.125,tws245,-3.23837271394719,"(-4,-3]"
70.875,36.125,tws245,-3.10268612378937,"(-4,-3]"
71.125,36.125,tws245,-3.23152183161471,"(-4,-3]"
71.375,36.125,tws245,-3.13900236137896,"(-4,-3]"
71.625,36.125,tws245,-2.71509898916557,"(-3,-2]"
71.875,36.125,tws245,-2.55041757904193,"(-3,-2]"
72.125,36.125,tws245,-2.63097393248957,"(-3,-2]"
72.375,36.125,tws245,-2.58285900054159,"(-3,-2]"
72.625,36.125,tws245,-2.41216867508404,"(-3,-2]"
72.875,36.125,tws245,-2.21003265979628,"(-3,-2]"
73.125,36.125,tws245,-2.26146152028994,"(-3,-2]"
73.375,36.125,tws245,-2.11794361006683,"(-3,-2]"
73.625,36.125,tws245,-2.00537631512048,"(-3,-2]"
73.875,36.125,tws245,-1.86485508071953,"(-2,-1]"
74.125,36.125,tws245,-1.78724548515073,"(-2,-1]"
74.375,36.125,tws245,-1.4778010812804,"(-2,-1]"
74.625,36.125,tws245,-0.907461518657977,"(-1,0]"
74.875,36.125,tws245,-0.629465144005224,"(-1,0]"
75.125,36.125,tws245,-0.680556604377141,"(-1,0]"
75.375,36.125,tws245,-0.800701844745532,"(-1,0]"
75.625,36.125,tws245,-0.60290194532482,"(-1,0]"
75.875,36.125,tws245,-0.739765963360097,"(-1,0]"
76.125,36.125,tws245,-0.685679071205294,"(-1,0]"
76.375,36.125,tws245,-0.684935144391832,"(-1,0]"
76.625,36.125,tws245,-0.746608900895704,"(-1,0]"
76.875,36.125,tws245,-0.825860507649072,"(-1,0]"
77.125,36.125,tws245,-0.710090999610475,"(-1,0]"
77.375,36.125,tws245,-0.312864759790679,"(-1,0]"
69.375,35.875,tws245,-4.65353561432724,"(-5,-4]"
69.625,35.875,tws245,-4.0961317514919,"(-5,-4]"
69.875,35.875,tws245,-3.79709762772751,"(-4,-3]"
70.125,35.875,tws245,-3.81253832545794,"(-4,-3]"
70.375,35.875,tws245,-3.61661054644883,"(-4,-3]"
70.625,35.875,tws245,-3.12254015221168,"(-4,-3]"
70.875,35.875,tws245,-3.1680230421906,"(-4,-3]"
71.125,35.875,tws245,-3.10998063656403,"(-4,-3]"
71.375,35.875,tws245,-3.00199527026026,"(-4,-3]"
71.625,35.875,tws245,-2.63925880132194,"(-3,-2]"
71.875,35.875,tws245,-2.84664979471111,"(-3,-2]"
72.125,35.875,tws245,-2.64301587127147,"(-3,-2]"
72.375,35.875,tws245,-2.57636247778144,"(-3,-2]"
72.625,35.875,tws245,-2.32317464320459,"(-3,-2]"
72.875,35.875,tws245,-2.23084290642592,"(-3,-2]"
73.125,35.875,tws245,-2.14046559634427,"(-3,-2]"
73.375,35.875,tws245,-2.01773870866236,"(-3,-2]"
73.625,35.875,tws245,-1.48994822651102,"(-2,-1]"
73.875,35.875,tws245,-1.23505995676416,"(-2,-1]"
74.125,35.875,tws245,-1.20819414988565,"(-2,-1]"
74.375,35.875,tws245,-1.07396064348521,"(-2,-1]"
74.625,35.875,tws245,-0.913015405586749,"(-1,0]"
74.875,35.875,tws245,-0.667280059325781,"(-1,0]"
75.125,35.875,tws245,-0.542411692464121,"(-1,0]"
75.375,35.875,tws245,-0.460582090419285,"(-1,0]"
75.625,35.875,tws245,-0.68759053606857,"(-1,0]"
75.875,35.875,tws245,-0.716849841415524,"(-1,0]"
76.125,35.875,tws245,-0.726051942584295,"(-1,0]"
76.375,35.875,tws245,-0.739315917440033,"(-1,0]"
76.625,35.875,tws245,-0.826525325365279,"(-1,0]"
76.875,35.875,tws245,-0.660623815542043,"(-1,0]"
77.125,35.875,tws245,-0.688797480318385,"(-1,0]"
77.375,35.875,tws245,-0.640224248046112,"(-1,0]"
77.625,35.875,tws245,-0.345858211899918,"(-1,0]"
77.875,35.875,tws245,-0.0207627910470581,"(-1,0]"
69.375,35.625,tws245,-4.97845255697321,"(-5,-4]"
69.625,35.625,tws245,-4.20194405849754,"(-5,-4]"
69.875,35.625,tws245,-3.89501459956034,"(-4,-3]"
70.125,35.625,tws245,-3.66248788208541,"(-4,-3]"
71.625,35.625,tws245,-2.65961452386471,"(-3,-2]"
71.875,35.625,tws245,-2.50502323574821,"(-3,-2]"
72.125,35.625,tws245,-2.39254224731963,"(-3,-2]"
