SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14
0.348473157272117,1.20019922042567,1.25423626221453,0.6215016859321,0.377591331410909,-0.801869083022309,0.640718978101039,0.572241470277795,-0.313537090980407,0.748165298133694,0.70129149564662,0.9500645036673,0.937892171035326,1.15421926390675
0.26867821674146,1.16096777181195,1.03237859999958,0.501392589411089,0.349709722487558,-1.13897429839529,0.665523796949704,0.667481938161397,-0.277938507908504,0.852427848359656,0.734574979448864,1.0362214401694,0.912162023638195,1.23438613557821
0.176287379032069,1.08444844820251,0.901740652997087,0.378680571373797,0.401520175325578,-1.31061780178633,0.661827073349147,0.736856384824924,-0.225967722552992,0.888191105396964,0.709391134279377,1.08252122680578,0.85146411486548,1.32552065687517
0.174648234927,1.10452544407816,0.958832951831443,0.340585904774744,0.484053514187812,-1.34451471806796,0.648174890863318,0.747955035141911,-0.1671334415531,0.912389557669029,0.608838523707795,1.13032220621266,0.810092832815152,1.38811194105587
0.188630788680067,1.16265781107625,1.02202339262904,0.31884526989449,0.557697602793863,-1.32767771738277,0.632348826122565,0.752877910471438,-0.0956986288324981,0.933104227952609,0.516438710986672,1.17230543418126,0.844074471455176,1.46838361772273
0.17717353209271,1.23093922577841,1.05319800233664,0.264082370032764,0.611056509960252,-1.25503477765929,0.61346457125814,0.771971489165435,-0.0198828757284684,0.917282326744751,0.410343554696965,1.13413664112759,0.872055150065775,1.49595636541072
0.239582161194234,1.39023907534912,1.13024771333892,0.254512759568029,0.668858624763519,-1.07275814083844,0.615240906598885,0.800157620573499,0.0689610167692207,0.838319357771914,0.302521965552811,1.05926959327763,0.945111928886004,1.52522957539098
0.276058925106453,1.55806371729795,1.24151829294597,0.259159025491118,0.779359831517025,-0.814379746986189,0.602856680358857,0.821042518566767,0.146303766403972,0.710059189504959,0.218674425387434,1.01244738174969,1.06459356362125,1.51557049400606
0.204566057784938,1.6444250602367,1.35972801010176,0.222228190398804,0.851823652785611,-0.563548502585553,0.565537501438248,0.826323349722145,0.213043517677342,0.540120856430474,0.147655858624768,1.00481676051975,1.0900926859,1.41248678961339
0.150330542034152,1.71786310955047,1.538879433304,0.17854057062463,0.849964239280364,-0.409252089715326,0.534230467728246,0.831959832783702,0.28787620084444,0.37016794829758,0.0936821720294909,1.0165955162789,1.08984506894778,1.30636613486467
0.119168259989706,1.75001677684958,1.64674382483749,0.152289139346836,0.794496419168101,-0.336209037363195,0.513468433090805,0.839359337616397,0.338701515159586,0.255829601874819,0.0523261243376162,1.01636026937454,1.09232974169862,1.23121536154975
0.0517909035948146,1.61686048559332,1.53314836251568,0.109947496604952,0.680709043232332,-0.254025112345222,0.498049553253563,0.850335410715445,0.403521490323479,0.141826799616649,0.00690615284808357,1.01023753104984,1.0571945675194,1.1600635658911
-0.0504558076555931,1.38712448999161,1.35758222860245,0.0535496485625899,0.527310467316466,-0.13326797382471,0.451867733674711,0.837135647847803,0.484106921655244,0.00821500905009602,-0.0120790829985971,1.03072604475481,0.988155846938756,1.12949753304093
-0.0893906274021001,1.20848807345584,1.2294881381832,0.0485311928011015,0.404596445323489,-0.0616686114031028,0.414919891801457,0.797584620112858,0.527239419499192,-0.123757071808915,-0.000585709156554069,1.02768698785914,0.928246948296879,1.08624242679246
-0.108719675025871,1.04573371487153,1.06742507405535,0.0437351866359181,0.350123819569448,-0.0337003972169876,0.421818281134761,0.775678011905722,0.562563116051152,-0.187932242209319,0.0987570549816268,1.03388758566977,0.955802212244885,1.02749611313094
-0.247143733407258,0.745449958222879,0.813909295816003,-0.00439804633227085,0.298221040585257,-0.00381215752706938,0.428797907651111,0.768735548449831,0.599421000552689,-0.183952543470141,0.273206383208695,1.06361388738034,0.977124101928078,0.938806629460897
-0.346814259083045,0.391336553956852,0.574443488513808,-0.0364168923643974,0.189422990551526,0.0538070479549444,0.43702424581807,0.755136045204064,0.653898351447677,-0.169718593134086,0.418657115671049,1.06672033276955,0.932421490945061,0.852947939613926
-0.271698113469381,0.171760220626523,0.382294250943219,0.0227888544063672,0.196834924767222,0.142982100267873,0.459904065891836,0.757113210028491,0.737852897326715,-0.166440567783834,0.594564049561065,1.12038981712206,0.759949718234287,0.862746347591979
-0.216356192048078,-0.0352814037471225,0.142721954781123,0.108597675307843,0.285928322460824,0.242542486944954,0.474963127812686,0.759102862760959,0.789187171168876,-0.0985050700738852,0.790510240339731,1.18446229828212,0.464592843831964,0.836572031174918
-0.197798129733641,-0.223384841324175,-0.089002918023642,0.160217801239603,0.283631621081887,0.366082908681746,0.493547800573652,0.752452267821644,0.813608266170803,0.00160602137429871,0.940471532941264,1.19689223071262,0.268901130772257,0.833001184303358
-0.0966000904801868,-0.364785614144018,-0.289652194843467,0.234611011300977,0.265421019745629,0.517642643681834,0.528730403189258,0.757893105091472,0.832323371264738,0.0554850811506468,1.06369211719777,1.21682319713265,0.143971716549592,0.870573169558796
0.0971396468696421,-0.433273010830696,-0.453734849310361,0.32699130355464,0.267596227038243,0.697570145539296,0.557790439462217,0.772180046672414,0.852939412416306,0.123567491732249,1.17171479939564,1.2559627134204,-0.0235448901937678,0.855665482531551
0.275994398222157,-0.497525747692948,-0.624485786339736,0.374432510722191,0.250060145601463,0.808752793219324,0.562749568597111,0.781263493124559,0.890594239515449,0.183436881201899,1.25640472880424,1.26562361839963,-0.113577939845151,0.824637811562745
