long,lat,mmk
-16.625,81.875,-4.37084305519452
-16.375,81.875,-4.04583335099422
-16.125,81.875,-3.74959169962378
-15.875,81.875,-3.71927378567707
-15.625,81.875,-3.69989247833746
-15.375,81.875,-3.67364254722275
-15.125,81.875,-3.65766232779183
-14.875,81.875,-3.63694070735837
-14.625,81.875,-3.61776985476885
-14.375,81.875,-3.59937941669079
-17.625,81.625,-4.58699867280918
-17.375,81.625,-4.58104857366067
-17.125,81.625,-4.57830246173955
-16.875,81.625,-4.57270431623861
-16.625,81.625,-4.51671616663242
-16.375,81.625,-4.35220950693043
-16.125,81.625,-4.17763015662846
-15.875,81.625,-3.91901814677179
-15.625,81.625,-3.70611121276588
-15.375,81.625,-3.68592273277729
-15.125,81.625,-3.66380188349868
-14.875,81.625,-3.65120924058664
-14.625,81.625,-3.62818611638836
-14.375,81.625,-3.61509833494826
-14.125,81.625,-3.60018094417625
-13.875,81.625,-3.57482342817959
-13.625,81.625,-3.55661502025639
-13.375,81.625,-3.54193444916986
-13.125,81.625,-3.52295799302547
-12.875,81.625,-3.50747124009944
-12.625,81.625,-3.48556355860741
-12.375,81.625,-3.46667696418305
62.625,81.625,-3.76861500583856
62.875,81.625,-3.78231396302828
63.125,81.625,-3.82276245385104
63.375,81.625,-3.84394181751364
63.625,81.625,-3.86247158612812
-19.875,81.375,-4.55636344178656
-19.625,81.375,-4.5984086935575
-19.375,81.375,-4.65015998011547
-19.125,81.375,-4.67542095070145
-18.875,81.375,-4.67521831220097
-18.625,81.375,-4.66986743313286
-18.375,81.375,-4.66305139280886
-18.125,81.375,-4.6612482225105
-17.875,81.375,-4.65777128157204
-17.625,81.375,-4.65898403785322
-17.375,81.375,-4.65405037813402
-17.125,81.375,-4.65035182181029
-16.875,81.375,-4.64684738022963
-16.625,81.375,-4.63654721571289
-16.375,81.375,-4.61048969025372
-16.125,81.375,-4.48941588528561
-15.875,81.375,-4.18381588939388
-15.625,81.375,-3.72343507846233
-15.375,81.375,-3.70750880434241
-15.125,81.375,-3.69111374856123
-14.875,81.375,-3.6637844377571
-14.625,81.375,-3.64840831937928
-14.375,81.375,-3.62613968497755
-14.125,81.375,-3.61113654825903
-13.875,81.375,-3.59380444918276
-13.625,81.375,-3.57361889586806
-13.375,81.375,-3.56011033295564
56.375,81.375,-3.23293516630319
56.625,81.375,-3.24538229202892
56.875,81.375,-3.26572611784401
58.125,81.375,-3.35816314426147
-19.875,81.125,-4.60332830033312
-19.625,81.125,-4.64144717047987
-19.375,81.125,-4.69737141402044
-19.125,81.125,-4.66273628822327
-18.875,81.125,-4.662560693514
-18.625,81.125,-4.66197978808548
-18.375,81.125,-4.67732673888509
-18.125,81.125,-4.67673402392701
-17.875,81.125,-4.67722928736476
-17.625,81.125,-4.67716248769216
-17.375,81.125,-4.67315329691441
-17.125,81.125,-4.66963064684968
-16.875,81.125,-4.6660119679229
-16.625,81.125,-4.66490252485972
-16.375,81.125,-4.66312471105641
-16.125,81.125,-4.61643614592909
-15.875,81.125,-4.40899367833612
-15.625,81.125,-4.22027580816678
-15.375,81.125,-4.21133803103064
-15.125,81.125,-4.19207432129025
