ato1,ato2,ato3,ato4,ato5
0.80409276122196,0.706776952558858,0.0610397417747065,0.0684425442954355,1.13198557414748
0.304990037640015,0.613970356957677,0.452176440168035,0.0969756751274438,0.964064226518068
-0.306333405652185,0.704759787942673,0.394430587195282,-0.0689953680483428,0.288812444295477
-0.794474782563659,0.870101604891704,0.35371108116187,-0.124786897230132,-0.431221054908927
-0.885350106149066,0.962326443335859,0.475125857104851,-0.17681711180638,-0.854312207562504
-1.03994935328347,0.733838129450517,0.505662369859985,-0.282758625970914,-1.15734249555655
-1.1660908425471,0.663084930286515,0.456888336305304,-0.375907477551545,-1.03520459986378
-1.06641496751779,0.566467804686713,0.368267641220863,-0.304164685904776,-0.75031512777983
-1.050755965658,0.409072395889857,0.520064065840361,-0.00497161876910832,-0.663615177217835
-1.1686599705576,0.447307540400749,0.843565091526581,0.117729825439532,-0.451248989970381
-1.50637419093837,0.635166977519198,1.09172892213698,0.0111045588686291,-0.20873252757234
-1.61283191296438,0.714160465648974,1.20004157142417,-0.158033066598699,-0.416468576717437
-1.23328168529312,0.909439639330421,1.15458933143806,-0.522947763459852,-0.803603215831683
-0.852442693664941,1.35777080219667,1.21907780622615,-0.896767055849844,-0.8571583692132
-0.570167106661699,1.80662918874763,1.65514391458423,-0.987837888849489,-0.203832970105696
-0.313893486550611,1.97875731068159,2.02159986612604,-0.930740393429927,0.539554175082566
0.015073297051048,2.04427948216309,2.19473586547293,-1.11924965601718,1.22041534171384
0.708564759426859,2.14261790117573,2.31289079084569,-1.19846837085703,1.83055045199929
1.34050219257809,2.51884447185651,2.39814075793373,-1.15067775516942,1.89901604399232
1.66727108556637,2.62868979971075,2.51583702736726,-1.11311817930161,1.74444138242793
1.88936338397886,2.18682081701621,2.215133691037,-1.02447933402362,1.56497205226627
2.30931101774969,1.71762883907267,1.76294910557196,-0.56418661590733,1.57133599488129
2.79921289341884,1.46508637107659,1.5602224362041,-0.290664472176858,1.57077334320987
2.84663918401312,1.53430733200937,1.52234037000456,-0.508499538000178,1.56691490704982
2.78024673626362,1.49346617577644,1.61141271544118,-0.366996509454887,1.62084042551932
2.68834117884724,1.29172514788556,1.54834595259274,-0.00724607741547475,1.45590149994715
2.33677167325985,0.984574737533227,1.22571138516076,0.15089473398311,1.06940411735776
2.04407198312169,0.95666792093273,0.870810294494371,0.0137510365310988,0.741016749378368
1.78775357290812,0.969714598732669,0.747097139589545,0.0529208849815427,0.582186341108776
1.46283228419479,1.21195560193819,0.820332507543616,0.0635716758635546,0.420704498528944
1.09252059823017,1.35921891967147,0.873072564560063,0.0554361421927298,0.332274868782454
0.63184992303401,1.19434246037911,0.826541203320412,0.0810565936275967,0.199227217078539
0.295963138637799,1.12642883305853,0.87878734000506,-0.0291233255271638,0.204894396217363
