long,lat,mmk
-16.625,81.875,-6.64764072761675
-16.375,81.875,-6.31310237977334
-16.125,81.875,-6.20215483252832
-15.875,81.875,-6.16950944781247
-15.625,81.875,-6.1473347339581
-15.375,81.875,-6.10291592613951
-15.125,81.875,-6.05574354381278
-14.875,81.875,-5.99105005014028
-14.625,81.875,-5.97146171295664
-14.375,81.875,-5.93759711761436
-17.625,81.625,-6.71451865046879
-17.375,81.625,-6.69903203287407
-17.125,81.625,-6.65077403037878
-16.875,81.625,-6.65272945529137
-16.625,81.625,-6.64357371542842
-16.375,81.625,-6.67796055189195
-16.125,81.625,-6.69668357490662
-15.875,81.625,-6.2579731355053
-15.625,81.625,-6.27788971237963
-15.375,81.625,-6.24290237344609
-15.125,81.625,-6.20640562764754
-14.875,81.625,-6.16960957169801
-14.625,81.625,-5.89710451738701
-14.375,81.625,-5.92540809770182
-14.125,81.625,-5.893869601715
-13.875,81.625,-5.85981915089636
-13.625,81.625,-5.81842086596425
-13.375,81.625,-5.78158480626819
-13.125,81.625,-5.7490983923542
-12.875,81.625,-5.70367332598625
-12.625,81.625,-5.67210758500245
-12.375,81.625,-5.6376378454818
62.625,81.625,-7.36038417322837
62.875,81.625,-7.15903248078359
63.125,81.625,-7.38456967253078
63.375,81.625,-7.38882212465815
63.625,81.625,-7.42393421191307
-19.875,81.375,-6.95060693156524
-19.625,81.375,-6.75377603103311
-19.375,81.375,-6.89781563965216
-19.125,81.375,-6.88160065802548
-18.875,81.375,-6.87007015721418
-18.625,81.375,-6.86801369640742
-18.375,81.375,-6.82526511162129
-18.125,81.375,-6.8355119085284
-17.875,81.375,-6.83295318499051
-17.625,81.375,-6.82988169113172
-17.375,81.375,-6.81861828320274
-17.125,81.375,-6.81236820350139
-16.875,81.375,-6.74773482176564
-16.625,81.375,-6.82310794853614
-16.375,81.375,-6.82563897069869
-16.125,81.375,-6.64261147276663
-15.875,81.375,-6.64755716872017
-15.625,81.375,-6.35197340137468
-15.375,81.375,-6.3053435536458
-15.125,81.375,-6.26971350975549
-14.875,81.375,-6.22670790384116
-14.625,81.375,-6.19551237009958
-14.375,81.375,-6.14483477187912
-14.125,81.375,-6.17260781410555
-13.875,81.375,-5.89258479236826
-13.625,81.375,-5.86894937677465
-13.375,81.375,-5.83003806191899
56.375,81.375,-6.17150914082368
56.625,81.375,-6.17943344019631
56.875,81.375,-6.20176719739325
58.125,81.375,-6.28583848268517
-19.875,81.125,-6.63536549773501
-19.625,81.125,-6.86232641271377
-19.375,81.125,-6.92567786971267
-19.125,81.125,-6.93778160912604
-18.875,81.125,-6.93727400606233
-18.625,81.125,-6.93321958412123
-18.375,81.125,-6.94096243951563
-18.125,81.125,-6.93787213631431
-17.875,81.125,-6.94343902137531
-17.625,81.125,-7.09451834101151
-17.375,81.125,-7.14236606367728
-17.125,81.125,-7.14045453658524
-16.875,81.125,-7.13993535244635
-16.625,81.125,-7.13510305628684
-16.375,81.125,-7.30894796276984
-16.125,81.125,-6.81102275639675
-15.875,81.125,-6.74317468354038
-15.625,81.125,-6.81858961999712
-15.375,81.125,-6.79195791607661
-15.125,81.125,-6.65026109183105
-14.875,81.125,-6.19095659782422
64.375,81.125,-7.926331920182
64.625,81.125,-7.92570087897413
64.875,81.125,-7.93482373029525
65.125,81.125,-7.97099064276235
90.125,81.125,-5.28843761270485
90.375,81.125,-5.53376486658257
90.625,81.125,-5.49442432862377
90.875,81.125,-5.44581426200864
91.125,81.125,-5.40149050936123
91.375,81.125,-5.33733369085635
94.875,81.125,-5.03008300121614
95.125,81.125,-5.00592505263553
95.375,81.125,-4.97232097940468
95.625,81.125,-4.93490616403232
95.875,81.125,-4.89913736830267
96.125,81.125,-4.8722481138558
-19.875,80.875,-6.76943129810246
-19.625,80.875,-6.88170932875011
-19.375,80.875,-6.95094543784471
-19.125,80.875,-6.92851939347917
-18.875,80.875,-6.93698415550556
-18.625,80.875,-6.94351271319962
-18.375,80.875,-6.92625351087433
-18.125,80.875,-6.93725988772164
-17.875,80.875,-6.92917547858637
-17.625,80.875,-6.93074979506267
-17.375,80.875,-7.08648127013118
-17.125,80.875,-7.0863758468375
-16.875,80.875,-7.07441027916001
-16.625,80.875,-7.12328432549238
-16.375,80.875,-7.0784924972338
-16.125,80.875,-6.71356386656434
-15.875,80.875,-6.7982169998083
-15.625,80.875,-6.97653016533662
-15.375,80.875,-6.97180669926162
49.875,80.875,-5.01127002316032
50.625,80.875,-5.31258325009711
50.875,80.875,-5.0434330360191
55.125,80.875,-5.00729329168444
55.875,80.875,-6.47909359927767
56.125,80.875,-6.48802918055045
56.375,80.875,-6.50047732429875
56.625,80.875,-6.25966949173179
56.875,80.875,-6.2549515319065
57.625,80.875,-5.97151956967758
57.875,80.875,-6.20649907979508
61.625,80.875,-8.02375884459681
61.875,80.875,-8.01065996960571
62.875,80.875,-9.13921142751382
63.125,80.875,-9.16292205304734
63.375,80.875,-9.03394117348742
63.625,80.875,-8.72945732214486
63.875,80.875,-8.75562966299733
64.125,80.875,-8.76618472284058
64.375,80.875,-8.75406414099459
64.625,80.875,-8.76203269436114
64.875,80.875,-8.7882885190817
65.125,80.875,-8.84257533856583
79.125,80.875,-9.17553192416222
79.375,80.875,-8.94014871750736
79.625,80.875,-8.73662084015781
79.875,80.875,-9.25731185730682
80.125,80.875,-7.45254949407316
80.375,80.875,-7.37451894104347
92.875,80.875,-6.34180573063263
93.125,80.875,-6.33589060964811
93.375,80.875,-5.45203693610511
93.625,80.875,-5.78155073197517
93.875,80.875,-5.83724424933858
