V1,V2
212.534374337669,219.900920219598
219.229207282839,217.165650387506
203.089070454068,234.415939863675
204.467239799657,211.496007870623
218.169136530861,208.92252888154
193.819840373296,206.88651321193
193.056465374048,213.191259358782
183.313545361559,195.13822398051
192.07809325533,195.656367444264
197.533009212296,198.044400603052
187.558073155832,206.25851203708
198.604338178382,184.060055098468
204.691368884508,202.806942960657
182.452243790575,200.540639834
174.421069406463,189.23726058751
188.501978237347,196.972968113223
190.819143602979,188.494692436403
178.453330668386,180.646856420816
186.929226012939,183.775965255676
160.475027527461,191.265188373526
172.525629724503,176.822201802731
173.504291825245,181.547475903573
190.873483802045,190.661762822246
191.111748861069,186.405829555208
176.504693550967,171.359305647362
165.889842876555,171.196340185829
158.182916250668,193.718848179213
151.555454026367,190.533668702205
153.544441144342,169.810709638766
149.405332485167,170.101305405028
163.770047372776,190.934169782889
123.247378823292,147.530134227878
126.826331042955,161.35135683529
199.254725730723,165.035289744577
148.70675232087,149.972597768239
125.789432218112,143.927644654952
128.462169104827,149.929579447443
135.329049405487,131.442757364587
145.008015446883,148.023460173596
166.94690960131,161.665145966928
128.508801140037,141.222790085896
118.231707645193,118.629121961424
134.251392955023,128.34582675527
130.39871321526,191.506951323094
125.996917372113,132.36236896135
101.094956299632,121.403388435621
150.542671783067,131.867127860093
108.428849491218,102.196387541133
87.7261343470314,124.247963209527
94.8157357249742,135.567193742157
94.003478799857,112.243623415803
136.876089284764,118.836602006812
141.70682058263,118.163884624965
94.6802698290733,164.088081648594
90.5537167483542,140.313358261338
92.8630175753319,111.510660545921
100.900086027482,124.153446399857
131.931272473867,102.780761469496
105.969075926734,94.6872227213816
90.2656689496794,87.9184056500193
118.171009006836,81.581479335113
101.2068372784,90.8093723864851
80.8551229970856,114.504044397426
101.018748061137,110.528472090579
137.03476343511,99.3608740983329
102.77235682608,76.5001619241202
96.7707599230438,75.0399937648174
98.5638604829975,88.3305038871031
152.152158585728,134.854573070443
133.998135717885,77.4481205884208
140.395967206674,116.725870637055
91.7804645250429,118.474628266001
102.634774057634,46.3572884162638
88.8960303388709,112.250940752913
104.728263240242,77.191246178342
60.3855133813364,64.1413872262624
73.2480162874948,100.65450354419
105.327111088214,87.4115578211629
121.50337972572,36.9353349222737
138.901100556099,51.1784186160196
97.9000018363615,113.617864395414
