pos245,pos585
212.534374337669,219.900920219598
219.229207282839,217.165650387506
203.089070454068,217.004403423012
204.467239799657,211.496007870623
207.31595409687,208.92252888154
193.819840373296,206.88651321193
186.962478691472,213.191259358782
178.07679010948,195.13822398051
190.979680564868,195.656367444264
196.047618069693,198.044400603052
187.558073155832,206.25851203708
198.604338178382,184.060055098468
204.691368884508,202.806942960657
181.99016778645,200.540639834
174.421069406463,189.23726058751
188.501978237347,196.972968113223
186.797055013477,188.494692436403
178.453330668386,180.646856420816
176.312442539467,183.775965255676
160.475027527461,191.265188373526
172.525629724503,176.822201802731
173.504291825245,181.427115911318
155.381938934985,187.974039588507
146.591647587588,186.405829555208
153.845749725317,171.359305647362
165.86609205672,171.196340185829
155.094823683504,184.2863284846
138.351107397919,176.705205896806
132.433489484872,167.059361429709
144.988708678982,157.891911561739
138.477905653138,157.280527524822
119.880306379712,146.520430311579
109.055229324437,157.13855453857
127.619336641499,158.29938898855
112.712062873452,149.422938736252
102.278210724257,143.927644654952
124.851256989699,137.4882458716
116.950179466506,129.156105621579
114.869793373378,120.66537381759
103.751685632473,123.83572454354
89.0031154622015,119.852900275113
118.231707645193,118.092389305952
104.521638637947,101.97440563058
99.758744686551,105.770313795082
78.2560809202278,107.738965680928
101.094956299632,94.9354908130224
102.014879788643,106.850442599199
101.259995650499,102.196387541133
77.9327266860687,88.6062248707608
94.8157357249742,101.439105227943
82.4515685243599,69.7806451792314
94.4019419009556,89.583350777989
85.8830415060288,86.5748262421532
93.8961252269011,92.1394914132744
82.4403592994998,82.8244473219844
79.7340822846903,92.168083956386
74.8887405947041,57.5364713603321
89.2946258489937,78.2640252014859
85.9989683300886,94.6872227213816
81.5671392620884,87.9184056500193
86.770343108651,81.581479335113
79.8760461566781,81.5771633426134
80.299589617337,53.5582355316967
79.2634471256014,72.712954605219
65.3212667538762,99.3608740983329
63.3523667307147,76.5001619241202
35.2933270539561,75.0399937648174
80.3904067017338,61.6067370033756
97.4898551129126,54.8103866425287
81.6258953508862,59.8604245840006
76.5270918589923,60.3845933906709
81.2233401803377,71.0753958398115
54.1703841734563,42.5786086647813
36.8633892868627,43.1291787681286
40.7078401961112,22.0656406176042
44.9417807657407,-13.1823976277221
44.0170455857499,14.9674688903711
79.3043165831784,6.01501866854978
73.7097703776866,-15.555803792622
52.9964847228903,-15.02985371099
58.7696722798558,-55.0742690593842
