pos245,pos585
201.609478685719,187.338779011456
191.385323784469,195.52390817644
184.038103945233,188.286760749065
177.189863636078,170.527563131911
191.006175678277,181.332515618009
183.012808307137,165.560771700469
179.840846073526,178.4412855947
183.05289591576,155.529059525069
192.07809325533,164.428136367245
170.111405601449,166.434128379932
183.765140943959,167.470582641096
181.368165650385,158.330024476674
194.43874177956,186.887218005875
182.452243790575,194.54639759123
170.927600261047,174.583707866067
172.228015310822,176.410754835658
190.819143602979,171.495276391954
178.077282562473,163.832487524447
186.929226012939,157.046527793409
142.489924193764,175.803009573777
171.808310457972,162.821369727654
170.294419622312,168.094239171191
147.332344408495,190.661762822246
153.785287201447,170.107976416638
176.504693550967,167.054364846117
165.889842876555,154.440725631024
158.182916250668,170.346867269079
151.555454026367,179.8113382572
153.544441144342,169.810709638766
149.405332485167,170.101305405028
163.770047372776,150.861496723534
123.247378823292,144.955095726284
116.770385144494,161.35135683529
138.114353730556,165.035289744577
131.195710182889,149.972597768239
121.072258972459,132.252856497248
128.462169104827,149.929579447443
135.329049405487,131.442757364587
145.008015446883,113.886296013878
113.798614492449,122.753743624568
98.8140362321189,116.892478903683
116.117430297018,118.629121961424
118.679669412795,98.3061359244738
105.668671725303,99.9051558049989
84.0864748584755,107.665701075447
96.5694243457602,96.3628185673504
111.02630134313,102.185592054501
108.428849491218,101.586118763016
87.7261343470314,97.1959626166038
94.3968922041695,112.182901357406
87.1711111171456,79.1334755537229
88.4550099412158,76.9006776131124
80.9078323706468,79.446158301719
94.6802698290733,92.2826516929297
90.5537167483542,87.9715060140892
92.8630175753319,79.9533227021886
100.900086027482,77.4775737805823
95.9782955605627,74.8489940258632
97.1488237466107,75.5687119798715
76.7477806831678,73.4781949819985
89.145155582341,73.9314870431181
77.7356902721446,80.480250490503
79.2262862304226,56.1594383862861
82.2001238491871,64.7054417398769
67.7643463012141,66.9870408489724
69.4863629394148,57.8924598337335
53.9597228984768,67.6252589732623
77.5162952154497,66.5318179415738
86.9252053038216,63.8964705273483
77.851222427196,58.7625371387062
73.4038058021909,53.2134437001627
91.7804645250429,49.0430161399931
73.3902659334232,35.4104978354321
51.9827542376111,43.2759439135749
48.0563472043392,32.4332672321351
42.6881847656616,13.1187367683471
67.348430807877,24.5081075877416
60.4645547452776,16.7577407678755
70.2917784242071,10.2957484470637
65.1460194158464,8.86665518531481
59.1936573639958,-3.67141327258751
