V1,V2
187.920506429832,161.368105959087
181.377030194413,179.290155791366
164.97192176836,188.286760749065
175.600449842569,170.527563131911
191.006175678277,168.709988537564
158.404781743282,165.560771700469
179.840846073526,178.4412855947
147.517483574286,95.2222899971748
139.696984663482,109.917920706753
170.111405601449,114.947370574689
140.964927809511,143.222280137592
105.18638614422,114.113017647283
168.62088771592,143.11027502206
139.614713429065,162.933867122192
140.03542644404,155.617000816104
141.414390964482,158.660992230163
129.955677594388,135.950171652317
112.361821651117,83.915786153595
105.663962748537,127.159295368321
108.969470838624,161.650894812951
130.439194223418,159.034588948812
110.96480837443,168.094239171191
147.332344408495,128.484950014634
146.591647587588,135.691463278721
153.845749725317,142.755197391145
111.443269322088,154.440725631024
100.573887201828,154.43419112464
136.781796740378,170.471901675885
105.866608760713,124.229455735958
112.247214253164,145.127108139192
118.47536646502,150.861496723534
106.454314518807,138.761956897512
109.055229324437,138.133013416553
127.619336641499,140.224295665448
112.712062873452,139.32222054161
102.278210724257,106.728378600377
123.564512654607,131.431656667984
60.6631961184856,122.898453294475
114.869793373378,113.886296013878
103.751685632473,122.753743624568
89.0031154622015,116.892478903683
98.1244390754934,114.46749087377
104.521638637947,98.3061359244738
99.758744686551,99.9051558049989
78.2560809202278,107.665701075447
83.3755413507273,94.9354908130224
102.014879788643,102.185592054501
83.7358447528925,89.8596262657272
25.6008245076668,88.6062248707608
62.2064975183018,101.439105227943
80.8176715687736,69.7806451792314
88.4550099412158,76.9006776131124
80.9078323706468,79.446158301719
83.2942237540656,92.1394914132744
27.9699500199424,82.8244473219844
-7.73598232126565,79.9533227021886
74.8887405947041,57.5364713603321
89.2946258489937,74.8489940258632
85.9989683300886,58.0696452187423
76.7477806831678,55.4362940158952
86.770343108651,-36.2154245889547
77.7356902721446,55.8264575167656
61.3880839036357,53.5582355316967
78.8397876337029,64.7054417398769
65.3212667538762,66.4931480588606
63.3523667307147,57.8924598337335
35.2933270539561,31.5848941012774
71.7730470613247,61.6067370033756
86.9252053038216,54.8103866425287
77.851222427196,58.7625371387062
73.4038058021909,53.2134437001627
62.9647408034078,49.0430161399931
54.1703841734563,28.4222356191101
36.8633892868627,43.1291787681286
40.7078401961112,22.0656406176042
42.6881847656616,-13.1823976277221
44.0170455857499,14.9674688903711
60.4645547452776,6.01501866854978
70.2917784242071,-15.555803792622
52.9964847228903,-15.02985371099
58.7696722798558,-55.0742690593842
