V1,V2,V3,V4,V5,V6,V7,V8,V9
103.279776697044,166.019668885626,92.1901314616387,161.374106315537,134.416589977953,140.539329101357,93.5473834889436,119.261608483118,125.015112045719
84.22220531161,158.30363142778,169.754813319424,93.043124050905,109.747578519819,86.3906333754037,95.1500256804528,118.332049512957,120.98450966968
106.412837292704,115.512708899574,83.983181042039,144.645843084707,80.1820782095095,105.652821782464,138.170149960938,125.204649205596,107.960718382222
140.078267202381,92.4277578058496,128.096139096436,119.154518572937,74.8147950835124,148.268202912495,94.5366339093237,137.743842861162,121.638071566244
142.449303064821,138.999083718489,153.019772975621,103.202911939891,127.307181638308,121.021821005261,87.7194855863445,99.7195221542616,153.322321697454
62.8432788533275,120.58962926401,123.638773914398,128.975980917135,147.200866168172,115.827621007698,137.808473353859,97.8730371057644,132.305842755965
107.901826844057,127.623445642617,121.740248283719,125.268500572051,132.4399828485,131.978065268049,114.358383813037,67.1817282221044,128.655620788478
116.740353503695,163.617405942993,114.783247282851,148.00546447833,108.288228601113,157.621322607859,107.803016064921,95.5888878311582,136.255082995303
143.034311441801,123.125219701044,102.580071533456,111.441460944029,105.799072123082,159.108537952339,150.097223596117,153.549293061647,145.522287129834
103.796311430728,108.626590588029,75.6225223168033,136.188349235353,103.261778318735,94.4990330028011,129.935699045506,79.2401174018268,109.669491528754
100.368160524203,75.7652213668423,134.730687257594,129.10439497509,117.027607986547,96.0632682768693,115.042471678975,117.161736840112,132.430700289115
94.5315872458945,104.605804526414,146.632282076507,102.026341515257,122.421226639064,141.613312186269,138.962024525028,96.2143836308994,118.561817864389
78.5848063060055,129.848508560326,174.267687226196,131.895501519423,91.9222560801184,153.353129839294,106.537441526321,129.220056488681,135.270293677929
112.4152329593,151.822585415631,104.759635892355,107.643305867378,136.053017778417,122.237111998634,156.450369376661,104.803894940137,125.203646202658
114.649459126405,86.2789475208148,102.659307457662,129.367791089163,134.900410869666,103.290983710639,134.645826371336,77.4867478535871,115.505496858724
118.431058896642,163.460946680762,121.174991656916,100.736117695178,106.6072409321,95.5955425004608,65.3703043985658,122.207996026971,113.156470169661
88.6119423291608,165.287427724148,160.079689534043,111.950732185127,146.36394510741,107.272063942999,158.83758014389,69.6941362539515,141.157146158308
127.529808421179,106.896089507151,88.3693439067607,125.576739022936,118.258440814594,96.7318633235661,137.259991307671,61.9422085085282,108.796479834652
109.643771651762,120.230504631943,171.351258495568,68.5087196006539,108.732068611596,99.4105663811172,157.146514784675,161.92865180786,129.089851470974
65.8547907820165,66.0537436065951,86.4960394093265,68.7699411748663,90.422388306399,94.4330965964805,77.4264439186169,130.759500964645,65.801640018945
175.427864982206,118.528963818813,107.527743121183,144.268480704701,110.973311187349,81.5527777918718,32.2555981138439,107.314569661667,108.71740472365
126.549364020863,107.81349168213,75.7943370761535,109.996805533397,141.17842296795,52.06152573,114.928754352278,141.456629720022,89.9205821318556
