V1,V2,V3,V4,V5,V6,V7,V8,V9
258.096772580521,252.226651979197,254.649413932707,265.361323525383,236.007932679668,265.582148363353,231.896431390824,282.903465395939,278.20384532572
250.610863945231,279.999922868967,280.794939614587,226.240937179901,208.970874643521,230.868169017442,263.559104545158,295.578029905692,261.786137899259
217.296206236853,226.747475785964,274.328256383442,217.843042352288,211.365315082889,231.226986657734,282.60413579185,280.430099729685,260.115489508244
204.660084078224,195.086736573321,286.760021295569,230.761128950196,209.960276520122,249.259618612165,192.844622671295,237.189360573803,232.741655705912
248.726621073082,258.554587239593,261.667934087395,191.59586046871,249.936412816362,252.446582238724,217.331296659459,254.981826587202,228.690029659099
238.106971631243,204.128262901902,285.695696896212,213.676202756423,212.372109902444,237.434849947598,246.067641017081,208.987298317983,233.719773858308
236.720267816701,244.152258253905,232.999001001778,201.311542445494,238.879416069289,269.578775823676,236.133334911415,141.30537820122,231.026071358574
205.622332901575,248.330805692135,223.424113955308,203.510710501082,226.063561357167,238.198650209306,225.768996566235,184.746432947259,229.850708836217
209.29978185476,213.71979663852,206.396844086385,247.099820122199,207.941550645004,234.610301377381,293.223009982359,228.535958215307,238.633899380826
220.219886235474,233.21273046686,232.071136166352,190.482839006595,205.879469272255,217.951501012781,259.621040812813,270.358107444002,230.553319674143
259.247663242114,239.038032746747,272.610411096931,267.88773824637,200.638002332569,203.17451730761,253.867454570641,231.959860102059,235.099581598803
282.458297870876,220.38535756922,236.022490972392,211.64756042251,215.630975041651,200.741353233612,222.565069784793,231.537387876916,244.17451343638
254.236774647579,221.377349577139,279.878077803436,270.83425932722,199.351252749809,244.904083328872,228.415381426581,265.688208390634,253.607189881192
238.849537835371,239.394092104031,207.860576338141,235.505351342882,203.980218710207,217.625157767271,238.254667164585,192.174871975615,239.700841378493
233.62282382163,216.255722668701,174.947945578252,213.049198317935,199.900165643194,217.720071779578,265.608315214981,225.308349405861,226.34970366337
202.158787610522,273.678803072812,215.15002936571,178.713908296258,211.979674388055,252.476756928033,213.162161668385,236.252952676427,231.299560451984
199.054582668706,261.404695207806,232.955824490097,242.324556029642,219.056573109506,191.340864642237,243.490676423775,281.576588461185,240.48114104765
244.460220042558,198.334477887358,163.567090302618,284.730495810921,277.100830797367,227.287027088014,198.590408588982,280.37007040641,247.358085290294
213.639557692077,198.01525712001,264.933904972446,239.708603133744,250.010730026381,187.365398956132,228.322019451637,262.861289905735,244.768600554904
158.482570331792,173.321778613313,194.656512103587,215.064979019884,218.633119726348,200.512173399338,228.421186253365,240.991577440907,219.178208368582
301.90475291364,226.894672581977,267.359597754705,198.698399470673,193.637263087758,212.214370143753,160.584856124531,233.66394951961,234.899216192294
222.293904941929,251.016479226039,236.607556612628,184.674662252043,206.175947315027,248.320821098399,227.674894045417,213.474297487209,250.668257112768
179.673021244966,198.066852039903,196.854034872705,176.980751954563,220.588938505784,182.196415471252,186.958061878022,174.945840249353,206.574733850886
248.837754052181,160.352603563669,153.999415542505,225.89771777567,162.630574241172,223.257434319058,223.432832741455,208.183727616788,213.740799262689
239.368805623836,235.453183006905,198.634786126164,201.369182017327,209.642390328592,206.833832007784,184.059373460215,186.644671840784,221.375050022644
246.672849447296,197.485505911593,243.373106773043,186.015208117345,211.196471682115,213.578585163374,205.304730806903,268.382675708814,223.944456362859
