V1,V2,V3,V4,V5,V6,V7,V8,V9
185.742230103036,214.878735190163,173.200313585162,173.365176896217,170.323388532802,169.951733882415,184.134746119018,169.838059150465,187.338779011456
203.920371850225,164.487817043395,216.842053572668,193.988755024488,181.066542676885,168.827916088599,184.780587596814,172.151436293568,195.52390817644
233.83860276196,155.02301680611,169.32311683685,142.976384517647,201.690857532153,179.529684839602,174.548804911079,184.349538313722,188.286760749065
220.702099974779,129.716492570639,185.07559248065,156.902264907031,135.59584782806,171.843055334027,170.880214582153,178.575969253562,170.527563131911
162.745926865078,177.121621120196,175.927516167119,172.094308331736,182.472567389389,180.968881725519,157.253358304384,191.608532206352,181.332515618009
196.510685990573,150.167507612792,175.463445194985,141.943624896393,180.406954705204,180.197998338459,135.687463056086,165.573607161714,165.560771700469
164.471959798678,203.786239471829,121.547660962284,143.828628586256,170.533292069698,231.554683679484,165.741177671907,177.201347593161,178.4412855947
133.681379297662,179.45274107863,130.682262823635,159.920389485039,204.838754901249,167.243410178871,162.611694433873,120.631801405572,155.529059525069
145.291884038302,169.69672247204,192.904762761163,186.913477380729,166.530202660627,178.275633635633,152.320066631551,113.520984228277,164.428136367245
152.877302999697,182.285269871818,155.253185780964,161.918441756154,191.563007498354,185.348035075126,132.666689563161,120.801912803982,166.434128379932
151.332701603835,189.92218769593,146.079915660546,182.035437201301,132.876995180455,165.298007852021,201.731009374362,152.199185427645,167.470582641096
148.67036591483,119.840251948537,150.418397188509,188.172883945711,156.478705698958,132.83035131309,191.53722699792,170.286094564884,158.330024476674
161.805402320396,148.759193945619,166.688399932241,166.390527708347,189.589192267763,197.182996462093,210.097305309287,194.352768744441,186.887218005875
166.064928809268,218.67669127881,161.208683139295,151.161877103755,171.951062445591,223.131196686908,180.128183659935,173.296765387692,194.54639759123
154.33058112142,170.845998450751,122.963031538482,172.184615992972,178.964271790794,180.736348915975,188.901667797391,170.008658362337,174.583707866067
178.463291592937,179.715606898752,134.436870729879,157.38124620379,180.976546996813,203.016154308354,181.880125127239,147.364007196518,176.410754835658
180.540349820923,188.357272414075,149.497412969668,175.914603349033,163.306278475404,175.643849314333,172.896573361383,139.113169798504,171.495276391954
154.54079653656,132.189354804563,153.404844651243,169.323064117003,153.946625520379,177.513068132352,166.125703468916,185.24863315543,163.832487524447
141.021454493194,128.424496978271,151.710086785052,147.609198161724,138.278888702223,188.56403960383,188.525377984512,167.732891694396,157.046527793409
174.582938521681,169.502617420895,173.222114430847,182.443315452518,201.59920179085,176.991657996737,148.192389754227,154.555624611066,175.803009573777
160.950079420983,157.181481076836,164.713024621755,162.420874338318,165.652429566255,122.612253894102,173.107284820095,182.82030723167,162.821369727654
154.398955187004,181.570290433992,140.309717497317,181.600672999769,133.669908830794,160.00093794553,154.490297639545,217.475977243225,168.094239171191
200.687393549736,157.722266527006,155.976180389903,204.13770553442,173.967418073197,181.519241871564,153.543850252105,220.464198301841,190.661762822246
219.741330544553,152.746031460767,174.983980450533,171.390189278296,164.227895907398,142.199825980263,169.562930315187,144.000185523755,170.107976416638
170.56957404557,182.498478397452,161.690433636334,151.780804022743,146.218107348789,152.66263524397,213.594008239396,139.022538301351,167.054364846117
153.465540676531,139.42759012076,191.513973180249,188.738035275399,146.612317405319,134.837647368061,146.119114946048,167.923483090404,154.440725631024
165.768184709216,175.309780265363,171.503153865339,202.892386547164,138.653589905818,174.342121382074,170.17179208933,168.840804353667,170.346867269079
191.347071406258,179.61683141733,170.108151683371,222.758188352687,156.391838744193,131.205520062403,207.643156810381,156.801503849982,179.8113382572
183.510337874225,170.425985829369,167.415045462819,156.325035830016,189.369176295602,178.72128400624,143.99638196888,155.337180586634,169.810709638766
145.757175304019,167.279778474555,182.694624430705,159.44759324937,212.135905223186,181.334097549356,123.270660222316,153.952692212711,170.101305405028
117.184238167766,166.268360130942,145.248100927338,172.880956959651,197.930356444402,147.523354038252,111.952574929748,167.998881615854,150.861496723534
144.747917745311,175.474005185331,144.236760744325,146.406657136314,162.29804313048,140.819940669798,109.01804728027,168.004699957227,144.955095726284
165.221531990671,180.148511068256,219.997095775204,127.33918798047,133.833909797426,170.168148271634,123.958353649308,159.429667189701,161.35135683529
195.038725178959,146.380032329214,198.163486036056,148.76835531004,155.177711625921,151.74780728711,156.041197672177,150.335411608654,165.035289744577
161.252140742161,161.190988872585,130.107937132374,165.080758815768,166.714046306173,131.298434781864,117.254801919751,149.091738258012,149.972597768239
128.832948567054,112.624711993097,143.850609859067,179.76712003767,161.094862954974,103.009452582003,125.480375086351,141.276328902011,132.252856497248
122.330405516476,134.246325112364,123.186490823581,158.371784089197,161.03220606663,136.857801801394,154.988073188658,200.880325155623,149.929579447443
146.607706542734,98.9186989982861,132.459521885978,115.650012491855,147.562200383584,132.327375169627,116.540970444748,187.917516773673,131.442757364587
122.462869054365,109.71863531151,143.210718864859,107.136877793805,143.855016945384,74.8265975506756,138.431252988405,125.551576911635,113.886296013878
129.621368250385,136.577304625684,115.11302766711,124.940169888123,145.072815165399,85.6086271889667,147.114682049617,135.772683488268,122.753743624568
90.8013562153082,131.756513578847,81.2018081107645,125.834634190326,160.675695305168,108.976199389131,135.123372788123,130.719040708877,116.892478903683
129.793340700115,115.17830649011,127.575771876429,110.434107822272,104.317071424359,115.480429346169,128.263971128994,162.597466476851,118.629121961424
99.2603225197634,105.563142254637,93.4879679411985,104.868590831017,120.208559339445,121.522014824753,90.0224988548835,130.496092421172,98.3061359244738
95.2943021889334,82.7858497348375,121.601685395138,132.6130061688,126.578010626334,117.988100417585,121.496928398468,86.1198528152514,99.9051558049989
114.696220613914,86.6183025314386,132.166226560156,93.7252898745807,121.391801804534,127.582965076767,123.212867711803,117.599070799939,107.665701075447
145.783524843551,90.9815355209492,84.7580357019808,110.381995469072,80.9483290540708,97.3750250385247,104.061266824966,122.719912969569,96.3628185673504
128.815960085352,83.8703877965487,98.5701016598655,111.34266350627,136.250318432898,106.853220432166,99.6460041792506,103.202434534337,102.185592054501
113.324151099422,96.4191414621375,82.1252854850511,110.206782383454,131.772745295556,128.105507415018,110.706051452599,105.370116074971,101.586118763016
81.0919715526395,121.952400967343,111.378612007473,115.164369410936,103.66804983999,91.1312774888367,100.269823238338,108.194664336916,97.1959626166038
74.7082949735177,135.216432615346,119.694732865146,107.675751361798,80.0380683198425,140.028156336928,128.615791176556,151.300757745666,112.182901357406
71.7661522230017,81.346264547635,95.9990318680632,102.847306672462,84.3971820853346,117.559032903226,109.048634213318,76.8091385466782,79.1334755537229
57.9130477443402,100.526479775695,102.142851640017,97.2181643390531,88.9896001144844,93.7575179722322,75.5506862436916,106.399862459548,76.9006776131124
78.648257253065,86.7084888755424,84.6393733401451,84.592968696043,94.9720298907368,103.921261324504,100.9595303015,97.9952500049276,79.446158301719
94.4097939588158,94.812389217496,96.8612174680619,86.2683874675437,110.346232682508,107.183240805085,115.664568430515,94.4823812031003,92.2826516929297
82.1719815079474,102.994382101347,72.5374600491495,112.381529178124,90.7697084761418,100.726236824421,105.512805251212,97.616121070474,87.9715060140892
67.8774119194213,93.0797171255861,75.467288571074,102.161853408292,116.787947996878,82.0849689229253,59.8200371336207,134.148246254784,79.9533227021886
100.613573146352,69.9014896996524,75.6661092932396,93.493591341162,88.8268892950861,85.6012618185424,68.7300156474823,122.941711498,77.4775737805823
63.5285395614478,72.2005583699323,80.8236474091508,91.6200782315861,108.992769822208,62.4393060303614,101.068737981381,117.821405391069,74.8489940258632
62.7123014401221,86.2820167044484,78.8762664535167,94.8591585551679,79.8938015792959,96.7896428241526,92.4143125031435,99.7440895417171,75.5687119798715
