long,lat,twsmonann
93.625,39.375,0.976563110379946
93.875,39.375,1.05351910008827
91.375,39.125,6.11993446253418
91.625,39.125,6.16133239446651
91.875,39.125,6.21608762297602
92.125,39.125,6.28419963983553
92.625,39.125,6.33388383219994
92.875,39.125,4.45312616971898
93.125,39.125,0.681192081669967
93.375,39.125,0.132978428713977
93.625,39.125,2.80848508831114
93.875,39.125,2.83626654915778
94.125,39.125,0.216322948553023
95.125,39.125,0.915008625955809
95.375,39.125,0.891772098517755
88.875,38.875,3.92525870376876
89.375,38.875,3.90529036299725
89.625,38.875,3.90837864139162
89.875,38.875,4.34719562942073
90.125,38.875,5.22174132556788
90.375,38.875,5.69596736292976
90.625,38.875,5.76987355889065
90.875,38.875,5.85821093613104
91.125,38.875,5.96097944774
91.375,38.875,6.03584322506296
91.625,38.875,6.08280251875875
91.875,38.875,6.14371660867972
92.125,38.875,6.2185853150008
92.375,38.875,6.26429568519372
92.625,38.875,6.28084792429581
92.875,38.875,5.33182145022743
93.125,38.875,3.41721579066167
93.375,38.875,2.87301276217636
93.625,38.875,3.69921223777125
93.875,38.875,3.63710303205132
94.125,38.875,2.68668494016775
94.375,38.875,1.81571515199861
94.625,38.875,1.02419345715039
94.875,38.875,0.912206644307645
95.125,38.875,1.47975470979055
95.375,38.875,1.47326205176346
95.625,38.875,0.892728831342954
95.875,38.875,0.0219472640726183
88.375,38.625,6.90235013223054
88.625,38.625,7.40161335846143
88.875,38.625,7.64286280267295
89.125,38.625,7.62609849510094
89.375,38.625,7.87848146580592
89.625,38.625,8.40001160328587
89.875,38.625,8.98944320332348
90.125,38.625,9.6467762277772
90.375,38.625,10.0124688519431
90.625,38.625,10.0865215214235
90.875,38.625,10.1729512067512
91.125,38.625,10.2717582432997
91.375,38.625,10.3516741521346
91.625,38.625,10.4126988269921
91.875,38.625,10.1419166768768
92.125,38.625,9.53932789736206
92.375,38.625,9.24950027240972
92.625,38.625,9.27243363541229
92.875,38.625,8.91104309803673
93.125,38.625,8.16532855533684
93.375,38.625,7.32425268982493
93.625,38.625,6.38781554448485
93.875,38.625,5.86419368588499
94.125,38.625,5.75338727289013
94.375,38.625,5.30357017210197
94.625,38.625,4.51474236088495
94.875,38.625,3.71478742611971
95.125,38.625,2.90370548280577
95.375,38.625,2.51629082539252
95.625,38.625,2.55254317873291
95.875,38.625,1.98858698184292
96.125,38.625,0.824422248553241
88.125,38.375,14.293801318894
88.375,38.375,14.9703688692302
88.625,38.375,15.130018293352
88.875,38.375,15.197402864872
89.125,38.375,15.1725225661526
89.375,38.375,15.9375654732897
89.625,38.375,17.4925320372695
89.875,38.375,18.3802034179813
90.125,38.375,18.6005794737798
90.375,38.375,18.7465211134936
90.625,38.375,18.8180281111882
90.875,38.375,18.8967435915178
91.125,38.375,18.9826675307449
91.375,38.375,19.0674268627318
91.625,38.375,19.1510208884165
91.875,38.375,18.2106878785328
92.125,38.375,16.2464280079163
92.375,38.375,15.2790788545562
92.625,38.375,15.308640711249
92.875,38.375,15.1907913049373
93.125,38.375,14.9255303288721
93.375,38.375,13.4866980962677
93.625,38.375,10.8742946919941
93.875,38.375,9.5175385641555
94.125,38.375,9.41642979761763
94.375,38.375,9.20790770052977
94.625,38.375,8.89197217995922
94.875,38.375,7.5516233895861
95.125,38.375,5.18686105083408
95.375,38.375,4.02085796132063
95.625,38.375,4.05361438870341
95.875,38.375,3.90389728688502
96.125,38.375,3.57170685668077
96.375,38.375,2.25597219168197
87.125,38.125,15.8077538411089
87.375,38.125,16.8653588522359
87.625,38.125,18.9377963115062
87.875,38.125,19.7529942806367
88.125,38.125,19.3109528454597
88.375,38.125,19.0831436925523
88.625,38.125,19.0695660256204
88.875,38.125,20.358155819277
89.125,38.125,22.9489124664061
89.375,38.125,23.96071136255
89.625,38.125,23.3935522032103
89.875,38.125,23.1037676015425
90.125,38.125,23.09135716483
90.375,38.125,24.439602963755
90.625,38.125,27.1485045023795
90.875,38.125,27.2095377352444
91.125,38.125,24.6227022950671
91.375,38.125,23.3723289159082
91.625,38.125,23.4584168796295
91.875,38.125,23.4718054621968
92.125,38.125,23.4124942741046
92.375,38.125,22.1063241941233
92.625,38.125,19.5532939599295
92.875,38.125,18.267602044344
93.125,38.125,18.2492477271795
93.375,38.125,17.4481791994047
93.625,38.125,15.8643966102396
93.875,38.125,14.0991695651518
94.125,38.125,12.152497967581
94.375,38.125,11.1419290694009
94.625,38.125,11.0674628749312
94.875,38.125,10.0622392356812
95.125,38.125,8.12625834629649
95.375,38.125,6.5699500975066
95.625,38.125,5.39331461464365
95.875,38.125,4.84417210962801
96.125,38.125,4.9225227559961
96.375,38.125,3.80925893874928
96.625,38.125,1.50438044342168
96.875,38.125,0.359501232257822
97.125,38.125,0.374621299102104
97.375,38.125,0.399039226963318
97.625,38.125,0.432755228444668
97.875,38.125,0.280958189977155
86.375,37.875,21.4953887777669
86.625,37.875,17.7394920295459
86.875,37.875,15.8886672307915
87.125,37.875,15.9429148375057
87.375,37.875,19.0420172111176
87.625,37.875,25.185973818547
87.875,37.875,26.0061847782916
88.125,37.875,21.5026500411919
88.375,37.875,19.2406736426055
88.625,37.875,19.2202561128175
88.875,37.875,23.1251209843216
89.125,37.875,30.9552686135684
89.375,37.875,31.9479191723324
89.625,37.875,26.1030720140342
89.875,37.875,23.1601355694944
90.125,37.875,23.1191096027692
90.375,37.875,27.0917144302057
90.625,37.875,35.0779504802078
90.875,37.875,35.1113329534375
91.125,37.875,27.1918620819847
91.375,37.875,23.2663801591932
91.625,37.875,23.3348865871961
