routeid,region,variable,long,lat,height,varep
4,AS,long4,91.5574725256481,44.3900252305696,3005.36612855737,-367.996251353812
5,ATO,long4,-38.0691229346961,32.2900211806786,7301.09385855166,-2968.96020858714
6,NAF,long4,9.59889629265663,34.5988526025077,6717.80275752171,-1213.6902443672
7,EU,long4,25.6627428606641,52.2398247906687,6298.51819953826,-1871.40591088447
8,NA,long4,-60.8886028756509,43.2433536492974,6961.70459079751,-4203.56966541173
9,AS,long4,25.3264484695962,37.5666930362065,9050.12105720272,-719.30437497499
10,NAF,long4,2.53217284443992,26.3228139752902,5877.13194557898,-280.984245041266
11,MS,long4,27.9204928774824,33.3711047840332,5754.65248566142,-538.758870901477
12,NA,long4,-102.184480029517,38.8203603019831,7385.68472645452,-1007.23982493605
13,IO,long4,67.9612745285475,20.8661534693545,3302.92946808393,2520.09838603543
14,AS,long4,75.0746951336307,44.8113150613626,3425.02697105582,-501.539961092635
15,ATO,long4,-21.2122206882628,35.3042798229694,7682.08409468223,-2633.09756574606
16,NA,long4,-123.82194016849,33.4944921654215,7525.11434765743,-988.291902833107
17,ATO,long4,-18.7837400974559,45.3729296056291,7170.80315963509,-3022.17192032491
18,AS,long4,84.6055447199822,25.1949999629445,3254.39866215198,-2166.83930406364
19,AS,long4,42.6697099414032,22.4463095162222,5073.43936617057,1123.10121729502
20,BS,long4,40.7979377270057,46.28528497424,5965.88921818972,-1174.76673535753
1,AS,long5,109.695294997701,29.1398941687573,3163.10899214075,3322.98151236261
2,CS,long5,57.9373545579439,35.9959822589134,4062.18558899736,1731.08618102123
3,ATO,long5,-59.9720903715236,31.0480088988128,7261.78694431226,-2388.98596500583
4,AS,long5,92.905024459361,44.1739388016106,2946.50609781665,1196.44246024879
5,ATO,long5,-35.1972369285777,32.3944834532072,7352.3127137795,-3195.68117120164
6,NAF,long5,12.236442788581,34.5182155362022,6672.87494559349,-1307.36930748124
7,EU,long5,27.721048690978,52.66952028089,6335.09036452558,-2284.74555767418
8,NA,long5,-55.005927865009,44.0333728746026,7117.6372214638,-4498.96223103199
9,AS,long5,-12.5985925742899,37.9985205041924,9194.22985818676,-511.61364544824
10,NAF,long5,3.83263805073583,26.1690079187415,5795.84292575033,-525.99026640343
11,MS,long5,30.5662841710729,33.3861384191843,5682.66874080435,-748.63793468284
12,NA,long5,-96.7256094211509,39.1068710297884,7451.64776704,-1376.30531681753
13,IO,long5,68.7962261271966,20.9179487771363,3268.16397200707,4225.9542568176
14,AS,long5,76.2640957211416,44.584270328437,3352.47388317919,1859.0295859436
15,ATO,long5,-17.5844116371004,35.5226282585032,7690.82551389026,-2647.70100294952
16,NA,long5,-120.509745466653,33.673404416303,7536.41999433583,-1417.21430222863
17,ATO,long5,-12.9136241508678,45.892071058083,7234.07592420694,-3002.95340127053
18,AS,long5,85.2964876519082,25.1970341908335,3214.69450533671,1998.28659215299
19,AS,long5,42.8896713744457,22.3424345572691,4987.98244763696,1002.31516443491
20,BS,long5,44.5643000648186,46.6534527318883,5969.46916448576,-1665.75026109902
1,AS,long6,109.8305118321,29.0208698504238,3147.92831264264,3442.74660991573
2,CS,long6,59.2725980874094,35.7930306015594,3957.76822784331,5514.04960344021
3,ATO,long6,-57.1049908379628,31.2594230680093,7354.23995527846,-2312.32741598826
4,AS,long6,94.0551977229536,43.9001472571529,2858.10437606284,3294.50743717583
5,ATO,long6,-32.3423586550028,32.4728811723226,7394.75709023947,-2597.48313595235
6,NAF,long6,14.8204597468095,34.457901798845,6636.00709307652,-299.003051973682
7,EU,long6,29.7656179233998,53.0338323395542,6374.82655158967,-592.27420328218
8,NA,long6,-48.6806447781927,44.7309058302107,7274.19129063008,-5133.66782820612
9,AS,long6,-43.6318729572773,38.2164380568954,9292.4726737029,-445.127043065077
10,NAF,long6,5.07438939763553,26.021181477294,5728.22411608097,279.16128673965
11,MS,long6,33.2465008033195,33.4473335630965,5610.97333333141,881.326920294218
12,NA,long6,-90.7412046348725,39.3704228346686,7535.03923835022,-1756.42530194216
13,IO,long6,69.6235473597722,20.9741580315323,3217.07230498089,9330.6218881725
14,AS,long6,77.3459942433552,44.3613366277169,3253.1320502742,5163.40102682124
15,ATO,long6,-14.0363715335417,35.6893790697728,7696.61955440355,-2356.9560098586
16,NA,long6,-116.526793722419,33.8908798320931,7540.70223848055,-1328.41591273395
17,ATO,long6,-6.99157254367463,46.3048725517446,7286.84982427332,-2351.87092101603
18,AS,long6,85.956078060124,25.1991297384924,3150.35146503219,5705.76617220072
19,AS,long6,43.0692943590634,22.2875530377022,4912.0895231949,2779.2818583481
20,BS,long6,48.5214534756466,46.9441086073244,5964.40131063138,-103.88001404643
1,AS,long7,109.859085522163,28.9104297744077,3130.29739706034,-1637.0483725466
2,CS,long7,60.5362195405592,35.5784315465411,3838.39099384044,2067.78774109175
3,ATO,long7,-54.107748531071,31.5486204180327,7460.40644364282,-1841.29478578203
4,AS,long7,94.8962789378254,43.5467877011389,2761.71324501178,-67.8335949798436
5,ATO,long7,-29.5482271519169,32.5522650624785,7427.70871663149,-2026.07804041687
6,NAF,long7,17.3952165509614,34.4200266806896,6593.70588665935,-243.439515912721
