routeid,region,variable,long,lat,height,varep
97,AS,long14,88.7400650747107,23.3567511471797,2249.09336611733,7.50840271156228
203,AS,long14,79.2326532992728,24.7994804402869,1811.31523155511,9.43377594076436
265,AS,long14,92.0240676531998,28.8041776902215,2036.69202358776,2.58773126206061
283,AS,long14,75.5713468395964,25.5004546966854,3527.53259955017,5.59807310043739
33,AS,long15,87.5567600655458,28.4842343824819,1873.72291873097,0.265252027153332
60,AS,long15,80.2769157157414,29.8014778066603,1879.63615873784,-2.10236823042064
97,AS,long15,89.1781905013089,23.2985015179395,2172.42267674915,0.190797827395133
203,AS,long15,80.0489168970101,24.6699167916164,1678.10172758578,1.31172252530807
265,AS,long15,92.7212500150293,28.4648164016205,1964.19637156238,2.49715991738078
283,AS,long15,75.9567600585605,25.5111701225407,3479.11962045153,1.24876518430429
33,AS,long16,87.9720279319522,28.3429605520126,1909.96609693404,-1.03116967403039
60,AS,long16,80.8652168195348,29.7219469607776,1878.66395935412,-0.23285305881358
97,AS,long16,89.5276290617611,23.2998754901625,2147.82863677704,0.872185694558176
203,AS,long16,80.8849738457956,24.5486430731481,1641.2879085205,2.25304687660876
265,AS,long16,93.3469001305786,28.2311751095006,1892.49822650641,-0.178356978823291
283,AS,long16,76.3873853979404,25.5027126731617,3486.14135088709,-1.44228630711366
33,AS,long17,88.3020334543416,28.2362696979096,1939.80494835191,3.96522390673455
60,AS,long17,81.4662890958558,29.6691390133508,1879.14009961651,2.81440292850857
97,AS,long17,89.851836756576,23.3603389182765,2139.83914529061,3.08720717062983
203,AS,long17,81.725286610648,24.4528603874344,1652.39640712838,8.12000296442808
265,AS,long17,93.8420139335811,28.0534473546748,1816.48688252616,4.09761070022363
283,AS,long17,76.8823029215985,25.5177118035972,3485.57727559535,0.399817682467316
33,AS,long18,88.600866000616,28.1559754312509,1917.05567539486,2.99155673872215
60,AS,long18,82.1389752283157,29.6417905279344,1864.88038990095,3.02310267395986
97,AS,long18,90.1879412122803,23.4708515741083,2107.57721241629,6.30374232407212
203,AS,long18,82.5964330751834,24.4029659102044,1578.89133131947,11.5365989573594
265,AS,long18,94.1530573284784,27.9773343050958,1717.45273074636,3.36313636008077
283,AS,long18,77.4868405218122,25.5208840807113,3444.9269537427,3.08841415987753
33,AS,long19,88.8651956272579,28.0762879284667,1875.31859130578,0.230333327514319
60,AS,long19,82.8636409121537,29.5772157369867,1839.53917011667,-2.42226983192054
97,AS,long19,90.5206510626407,23.6566046309148,2060.26777321058,-1.10135462199607
203,AS,long19,83.4603130764321,24.3913807257506,1479.35450149698,-0.514533202659201
265,AS,long19,94.3241126501643,28.0584606716829,1621.2583731974,1.17094881734656
283,AS,long19,78.1590501964693,25.4759338849801,3417.05832435076,-0.771338167258574
33,AS,long20,89.0541993901732,28.0090305356271,1860.92336995308,-1.13915116750061
60,AS,long20,83.5723403087116,29.4562909140992,1813.93443410042,-0.194080637755737
97,AS,long20,90.8564314978088,23.9328221792771,2050.54381368452,0.485490414795106
203,AS,long20,84.2444407118852,24.3980359297884,1467.9360607859,1.46077459157192
265,AS,long20,94.5087766090135,28.2821719699865,1571.92318095552,0.583229351499895
283,AS,long20,78.7840011082509,25.4188719325527,3413.17462078167,-4.20199023720458
33,AS,long21,89.2234969104182,27.9780798606319,1861.87618072838,5.29944415152534
60,AS,long21,84.2527583424861,29.3237337007556,1821.60131969297,3.21057244935836
97,AS,long21,91.2296020542332,24.2382942988495,2059.16930479863,2.62940791459291
203,AS,long21,84.9655772825687,24.4373157709584,1495.79587704299,4.1052603033124
265,AS,long21,94.8341343967366,28.4822003156763,1528.39917641032,5.34357645631039
283,AS,long21,79.3854174587576,25.4018783881119,3370.84792370445,4.59933391604114
33,AS,long22,89.4583409646087,27.9663033739875,1823.10534796995,3.93034258378746
60,AS,long22,84.938353435155,29.2027480328341,1824.0258824661,4.44182918822742
97,AS,long22,91.6427644753288,24.5527825965688,1999.52481644221,7.7509204615608
203,AS,long22,85.6847491373085,24.5351746869204,1450.00356275409,9.45675173273615
265,AS,long22,95.2553638614197,28.4819464453622,1449.43078106287,5.23637605420604
283,AS,long22,80.109513797933,25.433111747513,3301.72018842629,2.40220220784809
33,AS,long23,89.7300926205631,27.9613836505743,1750.93387790214,0.341171142882302
60,AS,long23,85.6034572758943,29.0938798693109,1802.49149853145,-2.26306626507843
97,AS,long23,92.0790459605335,24.9359555617843,1913.42257747053,-0.470767630829516
203,AS,long23,86.4228337462597,24.6633862115888,1387.73247621049,-6.22240613563552
265,AS,long23,95.5949152819472,28.3061308933732,1391.24895402594,1.00266122810671
283,AS,long23,80.9168850831709,25.5020813027354,3251.57505487853,-0.579628163575797
33,AS,long24,89.9660340209232,27.9864359107829,1707.03188108775,-1.25110826396788
60,AS,long24,86.2035983784317,29.0024517661073,1807.92873091468,-0.751770966083897
97,AS,long24,92.5556715098105,25.3663522402354,1868.9726381569,-1.46747246712096
203,AS,long24,87.1480209975171,24.7892578599342,1397.48810475575,-0.624688101489862
265,AS,long24,95.792496025395,28.0672600449027,1359.89769903432,0.17717695320756
283,AS,long24,81.6741609037101,25.6426471216651,3213.22079293452,-1.57820572432504
33,AS,long25,90.1678201441176,28.0702920338497,1683.19205005123,3.54487533310118
60,AS,long25,86.7573890972281,28.9426994752807,1836.60625877804,2.41613765541173
97,AS,long25,93.0918633863237,25.7554749676132,1811.81252434566,2.82351555960028
203,AS,long25,87.8387238111717,24.9480966795755,1424.43377401192,4.15200279959404
265,AS,long25,95.9345299071993,27.8572885505656,1292.50635839343,7.29075036179621
283,AS,long25,82.3904513516504,25.8716464949618,3135.93270373843,0.595699830679471
33,AS,long26,90.3874827924422,28.2180959718739,1642.20524743038,2.56897472299129
60,AS,long26,87.3098346303711,28.9238209540591,1876.70140672449,1.03487831426144
97,AS,long26,93.6647605589598,26.0851668221418,1713.3957578613,4.67042372572129
203,AS,long26,88.5285828171736,25.1704919335911,1383.94881671397,7.12504354245212
265,AS,long26,96.0816620721305,27.7559515677815,1180.33023677575,8.4524357175247
283,AS,long26,83.107271257951,26.1302221737966,3030.88740294052,1.88900083499041
33,AS,long27,90.614002126959,28.4147099902229,1621.53852239385,-1.97972885497113
60,AS,long27,87.8874279206028,28.9239986833208,1916.05629470053,-3.11203865416728
97,AS,long27,94.2269645470437,26.4127421995143,1647.38359944956,-1.74220014285487
203,AS,long27,89.2252168957795,25.4386665925717,1316.25202211519,-9.97323627246522
265,AS,long27,96.207697797584,27.7495330244511,1100.23160515968,0.825968759436023
283,AS,long27,83.7706265433753,26.3841603913684,2956.57529128413,0.698851844920832
33,AS,long28,90.8144078554425,28.6240531841237,1631.08911450829,-2.49616182393304
60,AS,long28,88.4999494122006,28.9210091022086,1958.3073887625,-1.89794926499221
97,AS,long28,94.7762230276207,26.7521306586959,1646.80976262656,-4.649668102368
203,AS,long28,89.8605496922412,25.7036898695279,1317.48756584739,-2.09515161592427
265,AS,long28,96.2557902865143,27.7695100401232,1074.81022134099,-0.208600698188266
283,AS,long28,84.3102759843432,26.6688853461638,2892.47012015451,-3.22901147576928
33,AS,long29,91.0386455425276,28.8201229957565,1638.24842745751,0.863669325412898
60,AS,long29,89.161448979247,28.9165299521549,2012.87309242608,2.36225062766098
97,AS,long29,95.3257783705488,27.0591864461875,1646.14016359935,-4.55243727850153
203,AS,long29,90.4601387035578,25.9494314363704,1375.90410914042,0.262981612852917
265,AS,long29,96.2682388592955,27.8007323654194,1051.92043246374,10.0429229796156
283,AS,long29,84.7768088513333,27.0083112234824,2789.69936271071,-0.139644029985625
33,AS,long30,91.3403987758732,29.0057538703252,1593.76945323976,2.93099693436058
60,AS,long30,89.8621541872556,28.9158318650809,2060.81954839595,0.683312457137338
97,AS,long30,95.8143970793697,27.3351945676697,1601.48062330762,-0.331725299774726
203,AS,long30,91.1304036525707,26.2065907989082,1439.25209042864,-0.912867745750777
265,AS,long30,96.3149558722846,27.8795003345185,1032.02665987352,7.91414583110642
283,AS,long30,85.2587719384284,27.3629399585975,2662.97856096009,2.86754326417882
33,AS,long31,91.690083591291,29.1829403785014,1496.18196479426,-1.94395937589738
60,AS,long31,90.543994153447,28.9128840843681,2078.69395164903,-1.08289662894676
97,AS,long31,96.1536875756439,27.6262289483135,1542.34455455236,-4.03807589226349
203,AS,long31,91.868753226198,26.4595672305265,1478.2054981281,-9.31192325279227
265,AS,long31,96.3854232196859,28.039871266393,1035.51633668046,0.291359519016067
283,AS,long31,85.7241796316738,27.7074968427973,2546.71067249666,-1.83112563649533
33,AS,long32,92.0529728559624,29.3344510186638,1420.94731178198,-1.74289164551532
60,AS,long32,91.1500307528629,28.9096332567041,2074.4768920606,-1.66485779294972
97,AS,long32,96.3723693130493,27.9553061430119,1509.41136908884,-6.99689830996928
203,AS,long32,92.5717318938418,26.6889210805508,1522.17725169847,-5.92395165438873
265,AS,long32,96.5013438646572,28.231818598763,1034.34598961089,-1.88876119454216
283,AS,long32,86.1228552667122,28.0618010211809,2416.8339719303,-3.6368419356888
33,AS,long33,92.4706450920392,29.4526474393888,1394.03473233821,3.78993622154343
60,AS,long33,91.7165071691097,28.9524653960219,2071.1328499136,0.922493655177166
97,AS,long33,96.6128699771774,28.3066923294741,1532.7579563503,-13.4576989871751
203,AS,long33,93.1934991618733,26.95146201795,1549.56595460211,-5.1183128356265
265,AS,long33,96.6781630711721,28.3561148362447,982.012906854407,8.66669163068429
283,AS,long33,86.5222639150107,28.4113954703416,2268.76082964089,1.43075442542764
33,AS,long34,92.9607377622274,29.5579433379746,1326.63291822263,2.49511823217374
60,AS,long34,92.3262508130611,29.1013806027829,1965.35519167471,1.25213030265369
97,AS,long34,96.9349253091757,28.6370475409139,1506.52937711762,-3.56468423932913
203,AS,long34,93.8011699028977,27.2914976989065,1507.28067443942,-3.24552106135541
265,AS,long34,96.8732349179886,28.397992037142,908.533905012387,5.24072471052831
283,AS,long34,86.9841891519633,28.7365679113271,2083.0057751894,3.34044807807206
33,AS,long35,93.4597728723511,29.6742272191565,1212.10997426209,-1.42064756667139
60,AS,long35,92.9708037361923,29.3615465551117,1754.75696921435,-1.29515194273119
97,AS,long35,97.2791293856792,28.8938909199266,1388.1964592563,-6.50056072649197
203,AS,long35,94.4186242675357,27.6761004826924,1412.54231255511,-7.75278092844783
265,AS,long35,97.0248448386857,28.3889127165794,849.025664686042,-4.19617639767493
283,AS,long35,87.4665758646263,29.0573583498185,1863.05789935648,-4.72885448816401
33,AS,long36,93.9545919672538,29.7926584903526,1113.25851430062,-3.47418571877316
60,AS,long36,93.6180036750745,29.6642810751444,1573.51352898988,-3.69200901207114
97,AS,long36,97.6414027414769,29.072386193424,1270.95364836611,-5.43144417399185
203,AS,long36,95.0311568461027,28.0577047561251,1320.23316978773,-10.3669338470153
265,AS,long36,97.110330538775,28.3732106953738,797.041337262618,-3.30138726426326
283,AS,long36,87.9455173405672,29.3926598589164,1632.02458594626,-5.73858416840718
33,AS,long37,94.523071063292,29.9134001467065,1078.67809581352,0.145555241422931
60,AS,long37,94.2603008102805,29.948405376652,1423.94444087201,0.650582777468022
97,AS,long37,98.0592478284862,29.2315846892923,1162.55560893373,2.19414638579147
203,AS,long37,95.6924995268848,28.4115117121206,1240.35609423432,-6.12497568274272
265,AS,long37,97.2263053543996,28.4344436955764,755.351647262644,4.70139264361801
283,AS,long37,88.4978032767419,29.7254448790937,1373.98681522921,4.03200400281495
33,AS,long38,95.1508176200703,30.0971484484718,795.044706758241,12.167498679491
60,AS,long38,94.7908842216638,30.2507228008828,998.40353007705,17.0567574143354
97,AS,long38,98.4579662301141,29.4534909376696,796.433030543341,21.8732453284504
203,AS,long38,96.4233117503524,28.7736898575783,907.296469176134,10.9897951605346
265,AS,long38,97.428864787068,28.6170293401271,495.945624381341,21.19933492914
283,AS,long38,89.1238925852611,30.0391940988858,928.348641485933,17.6881629796235
