routeid,region,variable,long,lat
18,AS,long3,83.8440018455979,25.2092498932602
19,AS,long3,42.3887031016405,22.5702762499916
20,BS,long3,37.2365213471669,45.8499362386306
1,AS,long4,109.496275699412,29.2462336342413
2,CS,long4,56.5190564409381,36.2182649623235
3,ATO,long4,-62.6891044872091,30.8939901045488
4,AS,long4,91.5574725256481,44.3900252305696
5,ATO,long4,-38.0691229346961,32.2900211806786
6,NAF,long4,9.59889629265663,34.5988526025077
7,EU,long4,25.6627428606641,52.2398247906687
8,NA,long4,-60.8886028756509,43.2433536492974
9,AS,long4,25.3264484695962,37.5666930362065
10,NAF,long4,2.53217284443992,26.3228139752902
11,MS,long4,27.9204928774824,33.3711047840332
12,NA,long4,-102.184480029517,38.8203603019831
13,IO,long4,67.9612745285475,20.8661534693545
14,AS,long4,75.0746951336307,44.8113150613626
15,ATO,long4,-21.2122206882628,35.3042798229694
16,NA,long4,-123.82194016849,33.4944921654215
17,ATO,long4,-18.7837400974559,45.3729296056291
18,AS,long4,84.6055447199822,25.1949999629445
19,AS,long4,42.6697099414032,22.4463095162222
20,BS,long4,40.7979377270057,46.28528497424
1,AS,long5,109.695294997701,29.1398941687573
2,CS,long5,57.9373545579439,35.9959822589134
3,ATO,long5,-59.9720903715236,31.0480088988128
4,AS,long5,92.905024459361,44.1739388016106
5,ATO,long5,-35.1972369285777,32.3944834532072
6,NAF,long5,12.236442788581,34.5182155362022
7,EU,long5,27.721048690978,52.66952028089
8,NA,long5,-55.005927865009,44.0333728746026
9,AS,long5,-12.5985925742899,37.9985205041924
10,NAF,long5,3.83263805073583,26.1690079187415
11,MS,long5,30.5662841710729,33.3861384191843
12,NA,long5,-96.7256094211509,39.1068710297884
13,IO,long5,68.7962261271966,20.9179487771363
14,AS,long5,76.2640957211416,44.584270328437
15,ATO,long5,-17.5844116371004,35.5226282585032
16,NA,long5,-120.509745466653,33.673404416303
17,ATO,long5,-12.9136241508678,45.892071058083
18,AS,long5,85.2964876519082,25.1970341908335
19,AS,long5,42.8896713744457,22.3424345572691
20,BS,long5,44.5643000648186,46.6534527318883
1,AS,long6,109.8305118321,29.0208698504238
2,CS,long6,59.2725980874094,35.7930306015594
3,ATO,long6,-57.1049908379628,31.2594230680093
4,AS,long6,94.0551977229536,43.9001472571529
5,ATO,long6,-32.3423586550028,32.4728811723226
6,NAF,long6,14.8204597468095,34.457901798845
7,EU,long6,29.7656179233998,53.0338323395542
8,NA,long6,-48.6806447781927,44.7309058302107
9,AS,long6,-43.6318729572773,38.2164380568954
10,NAF,long6,5.07438939763553,26.021181477294
11,MS,long6,33.2465008033195,33.4473335630965
12,NA,long6,-90.7412046348725,39.3704228346686
13,IO,long6,69.6235473597722,20.9741580315323
14,AS,long6,77.3459942433552,44.3613366277169
15,ATO,long6,-14.0363715335417,35.6893790697728
16,NA,long6,-116.526793722419,33.8908798320931
17,ATO,long6,-6.99157254367463,46.3048725517446
18,AS,long6,85.956078060124,25.1991297384924
19,AS,long6,43.0692943590634,22.2875530377022
20,BS,long6,48.5214534756466,46.9441086073244
1,AS,long7,109.859085522163,28.9104297744077
2,CS,long7,60.5362195405592,35.5784315465411
3,ATO,long7,-54.107748531071,31.5486204180327
4,AS,long7,94.8962789378254,43.5467877011389
5,ATO,long7,-29.5482271519169,32.5522650624785
6,NAF,long7,17.3952165509614,34.4200266806896
7,EU,long7,32.8861276041319,53.2601481566994
8,NA,long7,-41.9003319282075,45.3461400352245
9,AS,long7,-71.7970362516571,38.396958928093
10,NAF,long7,6.27327480051091,25.8806655798275
11,MS,long7,35.9847552681103,33.5440732228956
12,NA,long7,-84.287685357324,39.6454578272774
13,IO,long7,70.4344184215763,21.0127255610067
14,AS,long7,77.9143322398604,44.1169152254347
15,ATO,long7,-10.5197475868339,35.824602393974
16,NA,long7,-111.899696520559,34.150732415106
17,ATO,long7,-0.998776491216459,46.6230994032271
18,AS,long7,86.5640892512555,25.1865572704565
19,AS,long7,43.2200899395337,22.2744410346978
20,BS,long7,52.6298227154937,47.0814573932542
1,AS,long8,109.811915209602,28.8415910102352
2,CS,long8,61.6994189484323,35.3374056373174
3,ATO,long8,-50.9064909858457,31.9006131610121
4,AS,long8,95.4776148772173,43.1622049038479
5,ATO,long8,-26.808197069511,32.6299457335612
6,NAF,long8,19.9814364216265,34.3669041537364
7,EU,long8,36.9144252153132,53.2523307363926
8,NA,long8,-34.5732705318349,45.8022538508761
9,AS,long8,-96.7638749315467,38.6125824396382
10,NAF,long8,7.47334042513305,25.7464633947483
11,MS,long8,38.7667948957093,33.6501133614268
12,NA,long8,-77.3807852527134,39.9527738225487
13,IO,long8,71.2069952214717,21.0324736286614
14,AS,long8,78.2073840228382,43.8797898572601
15,ATO,long8,-6.98597088059708,35.900576569303
16,NA,long8,-106.943632942437,34.446396050731
17,ATO,long8,5.01698802374465,46.8058156818407
18,AS,long8,87.0948339407537,25.1779213645648
19,AS,long8,43.3460639566141,22.292357549495
20,BS,long8,56.7753608157483,46.9994566933986
1,AS,long9,109.733699030931,28.8046827723882
2,CS,long9,62.7658487984262,35.1103509272791
3,ATO,long9,-47.5500939229224,32.2777857367464
4,AS,long9,96.0783383264058,42.7824674054936
5,ATO,long9,-24.0823458370121,32.7116838908167
6,NAF,long9,22.5718542887393,34.323633905592
7,EU,long9,40.6666121659229,53.0290677159771
8,NA,long9,-26.8979193805139,46.0363833814852
9,AS,long9,-112.084558072115,38.8149579176208
10,NAF,long9,8.70913962395352,25.6448582795213
11,MS,long9,41.5813034392581,33.7876925717472
12,NA,long9,-70.1372665346629,40.308482791739
13,IO,long9,71.9502869297951,21.0492804420185
14,AS,long9,78.829294126722,43.6818375252853
15,ATO,long9,-3.44306260007703,35.9294799699107
16,NA,long9,-101.661974146193,34.7408435760973
17,ATO,long9,10.9082280142318,46.849872291814
18,AS,long9,87.582821144813,25.1876472106333
19,AS,long9,43.4547114881849,22.3595683506559
20,BS,long9,60.806138817777,46.7390972657397
1,AS,long10,109.597694461519,28.771403277197
2,CS,long10,63.7821811784884,34.9203198220323
3,ATO,long10,-44.0975262809176,32.6691388935363
4,AS,long10,96.7878988952943,42.3977766574022
5,ATO,long10,-21.2911288382118,32.826830375029
6,NAF,long10,25.1825594794266,34.3534875598608
7,EU,long10,43.9340652367442,52.6743472167963
8,NA,long10,-19.1241398072869,46.066236663947
9,AS,long10,-117.304493138359,38.8989505516054
10,NAF,long10,9.75880865253429,25.6209197675843
11,MS,long10,44.4415529762979,33.9745145407881
12,NA,long10,-62.6389573156342,40.7777185608063
13,IO,long10,72.6930679699756,21.0665581944888
14,AS,long10,79.6987988288601,43.4820137589984
15,ATO,long10,0.151243864839643,35.9620141737722
16,NA,long10,-96.0807619951121,35.009811404254
17,ATO,long10,16.6356837805361,46.7945606358349
18,AS,long10,88.0643187000433,25.1998554264876
19,AS,long10,43.5693480907618,22.4902809148915
20,BS,long10,64.61099035755,46.363630785404
1,AS,long11,109.363064426144,28.742775627384
2,CS,long11,64.7581818658679,34.7369437933321
3,ATO,long11,-40.5250754406222,33.0539047613241
4,AS,long11,97.4654750688918,42.0087952950604
5,ATO,long11,-18.3930023733426,32.9606320078955
6,NAF,long11,27.8392898308694,34.4456461184966
7,EU,long11,46.8005707125073,52.2128374605958
8,NA,long11,-11.4675654202795,45.8872736333301
9,AS,long11,-117.583721638627,38.8583466443086
10,NAF,long11,10.5154480520782,25.6783293953217
11,MS,long11,47.335627911762,34.1646223846071
12,NA,long11,-54.9240007341651,41.4282467451895
13,IO,long11,73.4458418508352,21.0804265732
14,AS,long11,80.6694792438492,43.233578416352
15,ATO,long11,3.88807879573346,35.9845576385274
16,NA,long11,-90.1993563103851,35.2556698327087
17,ATO,long11,22.2455217165477,46.6662514576556
18,AS,long11,88.5050041981052,25.2037967324527
19,AS,long11,43.7012187954559,22.6686197714786
20,BS,long11,68.1153761274274,45.8897543618645
1,AS,long12,109.064083325382,28.7306979751494
2,CS,long12,65.6499505583021,34.5491486506652
3,ATO,long12,-36.8392649063208,33.3722303249598
4,AS,long12,98.1188388361046,41.6484906530585
5,ATO,long12,-15.3962578738253,33.0578121647198
6,NAF,long12,30.533403185622,34.5520207630891
7,EU,long12,49.388995020563,51.643862321566
8,NA,long12,-4.02703572643695,45.4830396517437
9,AS,long12,-114.647518122944,38.833268869886
10,NAF,long12,11.1577748067183,25.7788290915025
11,MS,long12,50.2073158175379,34.3166038731053
12,NA,long12,-47.113162917191,42.2419167262049
13,IO,long12,74.1965739540944,21.1028159637585
14,AS,long12,81.5114914183274,42.9782530101196
15,ATO,long12,7.77122527324553,35.928777126083
16,NA,long12,-84.013929843238,35.5087605160766
17,ATO,long12,27.8096372303754,46.4778825595996
18,AS,long12,88.8565242193924,25.2207684487918
19,AS,long12,43.8574641521066,22.8817961146905
20,BS,long12,71.2512380057771,45.3642515045622
1,AS,long13,108.747682236274,28.7200545857734
2,CS,long13,66.4522052715663,34.3975538331084
3,ATO,long13,-33.0975597436242,33.5972447680783
4,AS,long13,98.7311921656672,41.3133157048561
5,ATO,long13,-12.3367008039916,33.103985030708
6,NAF,long13,33.245460665894,34.6933009947881
7,EU,long13,51.7526800464002,51.0189949767818
8,NA,long13,3.16054484031776,44.9599948697793
9,AS,long13,-108.964734316869,38.9052602529974
10,NAF,long13,11.7875742248818,25.9175780755513
11,MS,long13,53.0052534447266,34.4510174794893
12,NA,long13,-39.2935906200189,43.0821915500831
13,IO,long13,74.9399437430875,21.1485372629873
14,AS,long13,82.2404373418567,42.7609254122503
15,ATO,long13,11.6832285329743,35.8080813200769
16,NA,long13,-77.5040657206151,35.8139275652939
17,ATO,long13,33.3091750812267,46.2988563692927
18,AS,long13,89.1376807668417,25.2682322019059
19,AS,long13,44.0722927004444,23.1447999597495
20,BS,long13,74.031969561246,44.8727439071554
1,AS,long14,108.379222838678,28.699766046348
2,CS,long14,67.2197252550724,34.294245208404
3,ATO,long14,-29.3233197115302,33.7560320839857
4,AS,long14,99.2246240458532,40.9544929085599
5,ATO,long14,-9.2119332349473,33.1491301972152
6,NAF,long14,35.998588986295,34.9108530895834
7,EU,long14,53.95312568921,50.394000244895
8,NA,long14,9.58167894318955,44.5024680533703
9,AS,long14,-101.638735327066,39.0059816025475
10,NAF,long14,12.8325671669571,26.1307273851259
11,MS,long14,55.7048676701875,34.5786666083908
12,NA,long14,-31.4541938736735,43.7396930633352
13,IO,long14,75.6860155019656,21.2183810458953
14,AS,long14,82.9084117687846,42.5324280535463
15,ATO,long14,15.5659439592142,35.711799018329
16,NA,long14,-70.6658961055963,36.2151212533493
17,ATO,long14,38.7590842761821,46.1729168226803
18,AS,long14,89.3913491499963,25.3331333069744
19,AS,long14,44.3782421897551,23.4659302582329
20,BS,long14,76.573986658448,44.4287008645916
1,AS,long15,107.911678217117,28.7009812743501
2,CS,long15,67.9710264811212,34.1975409375377
3,ATO,long15,-25.4813391864198,33.8558143246233
4,AS,long15,99.5811785706874,40.563988187609
5,ATO,long15,-5.93869019914549,33.2316888346178
6,NAF,long15,38.8309522574057,35.1643971786358
